Are You Sincere
Chanson D'Amour
Chantilly Lace
Sail Along Silvery Moon
Raunchy
Queen of the Hop
Splish Splash
Over And Over
Do You Want To Dance?
Peggy Sue
Tequila
Maybe
Lollipop
Sweet Little Sixteen
Johnny B Goode
What Am I Living For
Yakety Yak
Who's Sorry Now
It's Only Make Believe
Oh Julie
Oh Boy
At The Hop
Witch Doctor
Return To Me
The Stroll
Volare (Nel Blu Dipinto Di Blu)
Oh Lonesome Me
Rebel-'Rouser
The End
For Your Love
Summertime Blues
Little Star
Don't Ask Me Why
One Night
I Beg Of You
Don't
Hard-Headed Woman
Doncha' Think It's Time
Wear My Ring Around Your Neck
I Got Stung
Devoted To You
All I Have To Do Is Dream
Problems
Bird Dog 
Claudette
26 Miles
Big Man
All the Way
Witchcraft
I'll Wait For You
Dede Dinah
Ginger Bread
Why Don't They Understand
Buzz-Buzz-Buzz
My True Love
Leroy
Breathless
Great Balls Of Fire
Secretly
Kisses Sweeter Than Wine
Just A Dream
The Walk
Ballad of a Teenage Queen
Guess Things Happen That Way
Willie and the Hand Jive
When
Tom Dooley
He's Got The Whole World In His Hands
Tears On My Pillow
Lazy Mary
Sugartime
March From the River Kwai and Colonel Bogey March
Book Of Love
Looking Back
Western Movies
It's Too Soon To Know
Sugar Moon
April Love
Wonderful Time Up There
You Are My Destiny
Fever
Patricia
Catch A Falling Star
Magic Moments
Kewpie Doll
Twilight Time
Born Too Late
Lonesome Town
Poor Little Fool
Waitin' In School
Stood Up
I Got a Feeling
Susie Darlin'
Near You
Don't Let Go
Short Shorts
Poor Boy
The Purple People Eater
Get A Job
To Know Him Is To Love Him
It's All In The Game
Liechtensteiner Polka
Hawaiian Wedding Song
Lonely Street
Tall Paul
I've Had It
The All American Boy
Gotta Travel On
Mack The Knife
Dream Lover
Kissin' Time
It's Just A Matter Of Time
Endlessly
The Three Bells
My Heart Is An Open Book
Petite Fleur
A Lover's Question
Along Came Jones
Charlie Brown
Poison Ivy
My Happiness
Frankie
Lipstick On Your Collar
16 Candles
The Happy Organ
Don't You Know
What A Diff'rence A Day Makes
A Teenager In Love
There Goes My Baby
Forty Miles Of Bad Road
My Wish Came True
(Now And Then There's) A Fool Such As I
A Big Hunk O' Love
I Need Your Love Tonight
In The Mood
Take A Message To Mary
('Til) I Kissed You
Tiger
Turn Me Loose
You're So Fine
I Want To Walk You Home
So Fine
I Only Have Eyes For You
Mr. Blue
Come Softly To Me
Only You
High Hopes
A Boy Without A Girl
Bobby Sox To Stockings
Venus
Just Ask Your Heart
Sea Cruise
Heartaches By The Number
Sorry (I Ran All The Way Home)
Morgen
Goodbye Baby
Lonely Teardrops
That's Why
Baby Talk
Primrose Lane
Red River Rock
The Battle Of New Orleans
The Tijuana Jail
I Cried A Tear
I'm Gonna Get Married
Stagger Lee
Personality
Quiet Village
Battle Hymn Of The Republic
Put Your Head On My Shoulder
Lonely Boy
Sea Of Love
Smoke Gets In Your Eyes
Enchanted
Bongo Rock
Peter Gunn Theme
What'd I Say
Sweeter Than You
Never Be Anyone Else But You
It's Late
Just A Little Too Much
Donna
Teen Beat
Sleep Walk
Broken-hearted Melody
It Was I
Since I Don't Have You
Waterloo
Tragedy
Guitar Boogie Shuffle
Kansas City
Deck Of Cards
The Village Of St. Bernadette
In My Little Corner Of The World
O Dio Mio
Money
White Silver Sands
Let The Little Girl Dance
Let's Think About Livin'
Beyond The Sea
Little Bitty Girl
Wild One
Swingin' School
Devil Or Angel
I'm Sorry
I Want To Be Wanted
That's All You Gotta Do
Sweet Nothin's
Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini
Kiddio
Greenfields
The Old Lamplighter
Lonely Weekends
The Twist
Mama
Among My Souvenirs
My Heart Has A Mind Of Its Own
Everybody's Somebody's Fool
Lonely Blue Boy
Step By Step
A Rockin' Good Way
Where Or When
Mission Bell
Save The Last Dance For Me
Because They're Young
Mack the Knife
It's Now Or Never
Stuck On You
Let It Be Me
So Sad
When Will I Be Loved
Cathy's Clown
Walking To New Orleans
Mule Skinner Blues
Theme From The Apartment
Down By The Station
Nice 'n Easy
Why
Way Down Yonder In New Orleans
Finger Poppin' Time
"Please Help Me, I'm Falling"
Alley Oop
Burning Bridges
What In The World's Come Over You
Night
Doggin' Around
He'll Have To Stay
He'll Have To Go
A Million To One
Go Jimmy Go
Handy Man
Good Timin'
You Talk Too Much
Beatnik Fly
Dreamin'
Sink The Bismark
Running Bear
Cradle Of Love
Poetry In Motion
Mr. Custer
Forever
Lady Luck
Teen Angel
El Paso
I Love The Way You Love
You've Got What It Takes
Stay
Stairway To Heaven
It's Time To Cry
Puppy Love
My Home Town
Happy-Go-Lucky Me
"Theme From ""A Summer Place"""
Harbor Lights
Georgia On My Mind
Tell Laura I Love Her
Young Emotions
Love You So
Only The Lonely
Chain Gang
Wonderful World
Cherry Pie
Pretty Blue Eyes
Footsteps
The Big Hurt
"Walk, Dont Run"
Take Good Care Of Her
The Writing On The Wall
Yellow Bird
"Who Put The Bomp (In The Bomp, Bomp, Bomp)"
Stand By Me
Spanish Harlem
Mexico
You Must Have Been A Beautiful Baby
One Track Mind
Tossin' And Turnin'
Good Time Baby
Take Good Care Of My Baby
Rubber Ball
You Can Depend On Me
Dum Dum
Think Twice
The Boll Weevil Song
Baby Sittin' Boogie
Those Oldies But Goodies
There's A Moon Out Tonight
Gee Whiz (Look At His Eyes)
I Like It Like That
The Fly
Let's Twist Again
Pony Time
Breakin' In A Brand New Broken Heart
Where The Boys Are
Pretty Little Angel Eyes
Take Five
Raindrops
Hats Off To Larry
Runaway
The Mountain's High
Runaround Sue
Sea Of Heartbreak
Bristol Stomp
Please Stay
Baby Blue
I'm Gonna Knock On Your Door
Are You Lonesome Tonight
Surrender
Little Sister
(Marie's The Name) His Latest Flame
Mother-In-Law
Walk Right Back
Hello Walls
Let The Four Winds Blow
Wings Of A Dove
Exodus
On The Rebound
San Antonio Rose
More Money For You And Me Medley
The Second Time Around
School Is Out
Quarter To Three
A Hundred Pounds Of Clay
Michael
It's Gonna Work Out Fine
Big Bad John
My True Story
Without You
Apache
Asia Minor
Calcutta
Ya Ya
The Way You Look Tonight
Don't Bet Money Honey
I've Told Every Little Star
Does Your Chewing Gum Lose Its Flavor (On The Bedpost Overnight)
Blue Moon
Last Night
Don't Worry
My Kind Of Girl
Shop Around
Calendar Girl
I Love How You Love Me
Moody River
I Fall To Pieces
"Tonight My Love, Tonight"
One Mint Julep
Hit The Road Jack
Missing You
Travelin' Man
Hello Mary Lou
Angel Baby
Cryin'
Running Scared
Daddy's Home
Will You Love Me Tomorrow
Dedicated To The One I Love
Mama Said
(Up a) Lazy River
Portrait Of My Love
Wheels
Sad Movies (Make Me Cry)
Hurt
Bless You
This Time
Tuff
I Know
You'll Lose A Good Thing
Surfin' Safari
Alley Cat
Percolator (Twist)
A Swingin' Safari
Things
I'll Never Dance Again
Roses Are Red (My Love)
Green Onions
Break It To Me Gently
Everybody Loves Me But You
Sealed With A Kiss
Hey! Baby
Funny Way Of Laughin'
A Little Bitty Tear
Let's Dance
Slow Twistin'
Wolverton Mountain
Party Lights
"Lover, Please"
Don't Break The Heart That Loves You
Smoky Places
Uptown
Rinky Dink
The Stripper
Mashed Potato Time
Gravy
Patches
Little Diane
Lovers Who Wander
The Wanderer
What's Your Name
You Belong To Me
"(Girls, Girls, Girls) Were Made To Love"
Can't Help Falling In Love
Good Luck Charm
Shout! Shout! (Knock Yourself Out)
Crying In The Rain
Sherry
Palisades Park
"Twist, Twist Senora"
Dear Lady Twist
Duke Of Earl
Town Without Pity
The Man Who Shot Liberty Valance
Moon River
Cotton Fields
I'm Blue
Twist And Shout
Her Royal Majesty
She Cried
Venus In Blue Jeans
P.T. 109
Walk On The Wild Side
Twistin' Matilda
Johnny Get Angry
Snap Your Fingers
Shout
Peppermint Twist
Cindy's Birthday
It Keeps Right On a-Hurtin'
Midnight In Moscow
Love Letters
Soul Twist
Where Have All The Flowers Gone
Dear One
The Loco-Motion
Playboy
The One Who Really Loves You
You Beat Me To The Punch
Stranger On The Shore
Ramblin' Rose
Breaking Up Is Hard To Do
Wah-Watusi
Speedy Gonzales
She's Got You
Love Me Warm And Tender
If I Had A Hammer
You Don't Know Me
I Can't Stop Loving You
Ahab The Arab
Theme From Dr. Kildare
Young World
