The Chipmunk Song (Christmas Don't Be Late)
Witchcraft
High Hopes
Like Young
Mack the Knife
Nice 'n Easy
The Second Time Around
(Up a) Lazy River
I Left My Heart in San Francisco
Desafinado
Fly Me to the Moon Bossa Nova
What Kind of Fool Am I
Happy Days Are Here Again
Wives and Lovers
People
A Taste of Honey
Yesterday
The Shadow of Your Smile
"Monday, Monday"
What Now My Love
By the Time I Get to Phoenix
Wichita Lineman
Is That All There Is?
A Time For Us
Lyin' Eyes
"Theme from New York, New York"
Graceland
Back in the High Life Again
Unforgettable
Beauty and the Beast
Constant Craving
Harvest Moon
He Thinks He'll Keep Her
Walk On
Video
Where Is the Love?
Here We Go Again
American Idiot
Not Ready to Make Nice
Put Your Records On
The Pretender
Please Read the Letter
Chasing Pavements
Holocene
The Cave
Firework
Lonely Boy
Thinkin Bout You
Really Love
