@RELATION all_data_processed_new_ToBeTestedOnModelLR

@ATTRIBUTE popularity REAL
@ATTRIBUTE genre {Hip-Hop,country,electronic,folk,funk,indie,pop,rap,rnb,rock,soul}
@ATTRIBUTE danceability REAL
@ATTRIBUTE energy REAL
@ATTRIBUTE key {0,1,2,3,4,5,6,7,8,9,10,11}
@ATTRIBUTE loudness REAL
@ATTRIBUTE mode {0,1}
@ATTRIBUTE speechiness REAL
@ATTRIBUTE acousticness REAL
@ATTRIBUTE instrumentalness REAL
@ATTRIBUTE liveness REAL
@ATTRIBUTE valence REAL
@ATTRIBUTE tempo REAL
@ATTRIBUTE duration_ms REAL
@ATTRIBUTE time_signature {3,4,5}
@ATTRIBUTE word_count REAL
@ATTRIBUTE reading_ease REAL
@ATTRIBUTE polarity REAL
@ATTRIBUTE subjectivity REAL
@ATTRIBUTE is_winner {0}
@ATTRIBUTE is_nominee {0,1}

@DATA
71,country,0.599,0.85,1,-2.263,1,0.0497,0.2,0,0.114,0.795,172.106,190600,4,322,108.7,0.164944444,0.310888889,0,0
16,Hip-Hop,0.839,0.3,10,-7.378,0,0.0718,0.00461,0.823,0.0467,0.534,109.715,265866,4,?,?,?,?,0,0
49,funk,0.91,0.358,0,-6.729,1,0.0941,0.892,0.872,0.0976,0.76,114.97,205357,4,?,?,?,?,0,1
79,pop,0.751,0.768,1,-7.089,1,0.0346,0.052,0,0.0848,0.885,120.084,235493,4,443,90.77,0.080850074,0.51203497,0,0
78,Hip-Hop,0.589,0.658,11,-5.288,0,0.203,0.0242,0,0.118,0.254,77.521,223973,4,?,?,?,?,0,0
75,pop,0.655,0.782,1,-4.789,1,0.185,0.375,0,0.317,0.839,79.427,184227,4,380,89.75,?,?,0,0
74,pop,0.775,0.825,7,-5.402,1,0.0464,0.0506,1.03E-06,0.111,0.945,139.091,182667,4,426,88.74,-0.061,0.604,0,0
6,pop,0.458,0.442,0,-10.215,1,0.0683,0.548,0.842,0.104,0.945,71.994,186667,4,?,?,?,?,0,0
79,Hip-Hop,0.829,0.51,5,-9.334,0,0.0368,0.00821,0.0014,0.0829,0.47,119.993,208133,4,?,?,?,?,0,0
11,rnb,0.947,0.553,7,-10.757,1,0.158,0.133,1.16E-05,0.05,0.876,104.991,187446,4,?,?,?,?,0,0
13,rnb,0.817,0.293,6,-11.139,0,0.0632,0.0656,0.668,0.0613,0.342,140.043,216477,4,?,?,?,?,0,0
65,pop,0.586,0.669,0,-5.823,0,0.0476,0.0274,0,0.0833,0.102,75.889,203000,4,324,100.58,0.109090909,0.718181818,0,0
66,pop,0.688,0.712,11,-3.573,0,0.0683,0.0108,0,0.458,0.49,93.027,222187,4,327,90.77,?,?,0,0
12,rap,0.792,0.913,2,-9.081,1,0.0578,0.00239,0.941,0.136,0.0888,105.092,224904,4,?,?,?,?,0,0
