song,artist,word_count,reading_ease,polarity,subjectivity
Susie Darlin',Robin Luke,194,100.24,0.218421052632,0.5
Near You,Roger Williams,2,?,0.0,0.0
Don't Let Go,Roy Hamilton,318,107.69,0.134722222222,0.431944444444
Short Shorts,Royal Teens,79,116.15,-0.0272727272727,0.354545454545
Poor Boy,Royaltones,2,?,0.0,0.0
The Purple People Eater,Sheb Wooley,307,88.74,0.0916005291005,0.438095238095
Get A Job,Silhouettes,278,115.13,0.0642857142857,0.389285714286
To Know Him Is To Love Him,Teddy Bears,209,101.26,0.433333333333,0.54188034188
It's All In The Game,Tommy Edwards,108,96.18,0.246153846154,0.548076923077
Liechtensteiner Polka,Will Glahe,193,91.78,0.0,0.0
Hawaiian Wedding Song,Andy Williams,110,99.23,0.38125,0.49375
Lonely Street,Andy Williams,105,73.85,-0.122222222222,0.616666666667
Tall Paul,Annette,162,100.24,0.391628787879,0.444545454545
I've Had It,Bell Notes,156,91.78,0.0265625,0.428125
The All American Boy,Bill Parsons,336,97.2,0.0928571428571,0.385714285714
Gotta Travel On,Billy Grammer,254,96.18,-0.0612,0.393866666667
Mack The Knife,Bobby Darin,188,98.21,0.013431013431,0.216422466422
Dream Lover,Bobby Darin,254,99.23,0.367857142857,0.767857142857
Kissin' Time,Bobby Rydell,171,71.82,0.156140772807,0.407712041045
It's Just A Matter Of Time,Brook Benton,103,99.23,0.232407407407,0.500925925926
Endlessly,Brook Benton,65,90.77,0.341666666667,0.583333333333
The Three Bells,Browns,223,83.32,0.100632183908,0.448505747126
My Heart Is An Open Book,Carl Dobkins Jr.,?,?,?,?
Petite Fleur,Chris Barber's Jazz Band,?,?,?,?
A Lover's Question,Clyde Mcphatter,184,106.67,0.285714285714,0.471428571429
Along Came Jones,Coasters,293,96.18,-0.0338383838384,0.372474747475
Charlie Brown,Coasters,181,100.24,-0.00793650793651,0.34126984127
Poison Ivy,Coasters,296,91.78,-0.131746031746,0.61746031746
My Happiness,Connie Francis,79,89.75,0.1,0.216666666667
Frankie,Connie Francis,124,84.68,0.0908313908314,0.53411033411
Lipstick On Your Collar,Connie Francis,184,94.15,0.132291666667,0.180208333333
16 Candles,Crests,241,79.26,0.275983796296,0.57962962963
The Happy Organ,"Dave ""Baby"" Cortez",2,?,0.0,0.0
Don't You Know,Della Reese,92,117.16,0.166666666667,0.516666666667
What A Diff'rence A Day Makes,Dinah Washington,92,91.78,-0.0075,0.48
A Teenager In Love,Dion and The Belmonts,214,41.71,0.00448717948718,0.651923076923
There Goes My Baby,Drifters,176,83.32,0.348888888889,0.497777777778
Forty Miles Of Bad Road,Duane Eddy,1,?,0.0,0.0
My Wish Came True,Elvis Presley,64,92.8,0.4,0.566666666667
(Now And Then There's) A Fool Such As I,Elvis Presley,184,103.63,0.0559210526316,0.573684210526
A Big Hunk O' Love,Elvis Presley,222,104.64,0.156740196078,0.298529411765
I Need Your Love Tonight,Elvis Presley,216,106.67,0.366133786848,0.565328798186
In The Mood,Ernie Fields Orchestra,2,?,0.0,0.0
Take A Message To Mary,Everly Brothers,194,96.18,0.0420454545455,0.581818181818
('Til) I Kissed You,Everly Brothers,180,97.2,0.121818181818,0.365
Tiger,Fabian,285,87.72,0.0224292615597,0.491752933057
Turn Me Loose,Fabian,222,95.17,-0.0457716196847,0.289289695811
You're So Fine,Falcons,123,90.77,0.351041666667,0.484375
I Want To Walk You Home,Fats Domino,144,113.1,0.388888888889,0.545526695527
So Fine,Fiestas,102,94.15,0.328632478632,0.467521367521
I Only Have Eyes For You,Flamingos,95,107.69,0.217777777778,0.78962962963
Mr. Blue,Fleetwoods,?,?,?,?
Come Softly To Me,Fleetwoods,227,100.24,0.168907563025,0.384453781513
Only You,Franck Pourcel,122,99.23,0.215873015873,0.863095238095
High Hopes,Frank Sinatra ,231,100.24,-0.0485,0.465444444444
A Boy Without A Girl,Frankie Avalon,124,97.2,0.4125,0.5125
Bobby Sox To Stockings,Frankie Avalon,172,97.2,0.166071428571,0.392857142857
Venus,Frankie Avalon,161,97.2,0.397794117647,0.628104575163
Just Ask Your Heart,Frankie Avalon,104,96.18,0.273333333333,0.586666666667
Sea Cruise,Frankie Ford,252,106.67,0.128571428571,0.245238095238
Heartaches By The Number,Guy Mitchell,122,94.15,0.221212121212,0.306060606061
Sorry (I Ran All The Way Home),Impalas,171,108.7,-0.386904761905,0.922619047619
Morgen,Ivo Robic,141,90.77,?,?
Goodbye Baby,Jack Scott,156,91.78,0.05,0.92
Lonely Teardrops,Jackie Wilson,129,98.21,-0.114814814815,0.633333333333
That's Why,Jackie Wilson,304,107.69,0.343915343915,0.545767195767
Baby Talk,Jan and Dean,441,112.09,0.265384615385,0.573076923077
Primrose Lane,Jerry Wallace,109,79.26,0.0854938271605,0.420987654321
Red River Rock,Johnny and The Hurricanes,2,?,0.0,0.0
The Battle Of New Orleans,Johnny Horton,414,85.69,0.0666806220096,0.41038277512
The Tijuana Jail,Kingston Trio,221,95.17,0.0556818181818,0.2
I Cried A Tear,Lavern Baker,99,105.66,0.24012987013,0.469480519481
I'm Gonna Get Married,Lloyd Price,234,90.77,0.126680672269,0.439495798319
Stagger Lee,Lloyd Price,168,99.23,-0.284963474026,0.525568181818
Personality,Lloyd Price,219,84.34,0.433333333333,0.436111111111
Quiet Village,Martin Denny,77,90.77,0.2,0.452380952381
Battle Hymn Of The Republic,Mormon Tabernacle Choir,186,72.83,-0.0909090909091,0.7
Put Your Head On My Shoulder,Paul Anka,100,106.67,0.165178571429,0.410714285714
Lonely Boy,Paul Anka,120,84.34,0.134027777778,0.536805555556
Sea Of Love,Phil Phillips and The Twilights,?,?,?,?
Smoke Gets In Your Eyes,Platters,120,85.69,0.381818181818,0.54696969697
Enchanted,Platters,152,100.24,0.385714285714,0.6
Bongo Rock,Preston Epps,2,?,0.0,0.0
Peter Gunn Theme,Ray Anthony,2,?,0.0,0.0
What'd I Say,Ray Charles,528,104.64,0.384693877551,0.527777777778
Sweeter Than You,Ricky Nelson,109,86.71,0.308522727273,0.62265625
Never Be Anyone Else But You,Ricky Nelson,1,?,0.0,0.0
It's Late,Ricky Nelson,1,?,0.0,0.0
Just A Little Too Much,Ricky Nelson,1,?,0.0,0.0
Donna,Ritchie Valens,123,92.8,0.222222222222,0.294444444444
Teen Beat,Sandy Nelson,2,?,0.0,0.0
Sleep Walk,Santo and Johnny,?,?,?,?
Broken-hearted Melody,Sarah Vaughan,147,90.77,0.255494505495,0.498901098901
It Was I,Skip and Flip,277,88.74,0.0981859410431,0.516553287982
Since I Don't Have You,Skyliners,110,100.24,0.525,0.5
Waterloo,Stonewall Jackson,179,62.34,0.0375,0.444444444444
Tragedy,Thomas Wayne,181,90.77,0.0741071428571,0.3
Guitar Boogie Shuffle,Virtues,178,97.2,0.0092032967033,0.575641025641
Kansas City,Wilbert Harrison,192,90.77,0.046875,0.771875
Deck Of Cards,Wink Martindale,575,96.18,0.19466540404,0.374671717172
The Village Of St. Bernadette,Andy Williams,?,?,?,?
In My Little Corner Of The World,Anita Bryant,109,83.32,0.00208333333333,0.54375
O Dio Mio,Annette,131,108.7,0.297368421053,0.431578947368
Money,Barret Strong,?,?,?,?
White Silver Sands,Bill Black's Combo,2,?,0.0,0.0
Let The Little Girl Dance,Billy Bland,205,88.06,-0.0695652173913,0.378260869565
Let's Think About Livin',Bob Luman,?,?,?,?
Beyond The Sea,Bobby Darin,134,99.23,0.371,0.664
Little Bitty Girl,Bobby Rydell,193,99.23,0.0284523809524,0.273333333333
Wild One,Bobby Rydell,211,103.63,-0.0224668560606,0.455492424242
Swingin' School,Bobby Rydell,174,98.21,0.384884489426,0.677430555556
Devil Or Angel,Bobby Vee,159,89.75,0.48,0.55
I'm Sorry,Brenda Lee,99,108.7,-0.234920634921,0.761375661376
I Want To Be Wanted,Brenda Lee,177,87.72,0.234285714286,0.514285714286
