Brenda Lee
Chubby Checker
Dave Brubeck
Elvis Presley
Don Gibson
Four Preps
Bobby Darin
Drifters
Mr. Acker Bilk
Ray Charles
Dee Dee Sharp
Bobby Vinton
David Rose
Shelley Fabares
Little Eva
Sensations
Chubby Checker
Shirelles
Bruce Channel
Dion
Gene Chandler
Freddy Cannon
Neil Sedaka
Claude King
Chubby Checker
Johnny Tillotson
Mary Wells
Elvis Presley
Kenny Ball
Tommy Roe
Sam Cooke
Orlons
Joey Dee and The Starlighters
Brenda Lee
Marvelettes
Nat King Cole
Brian Hyland
Jay and The Americans
Connie Francis
Gary U.S. Bonds
Sue Thompson
Ketty Lester
Claudine Clark
Highwaymen
Bent Fabric
Isley Brothers
Richard Chamberlain
Ace Cannon
Clyde Mcphatter
Barbara George
Rick Nelson
Shirelles
Pat Boone
Burl Ives
Everly Brothers
Emillo Pericoli
Ernie Maresca
Don and Juan
Corsairs
Sam Cooke
Booker T and The MG's
Ray Charles
Four Seasons
Joanie Sommers
Elvis Presley
Joey Dee
"Dave ""Baby"" Cortez"
Henry Mancini
Ray Stevens
Bobby Darin
Gene Pitney
Duprees
Roy Orbison
Joe Henderson
Dion
Chris Montez
Johnny Crawford
Mary Wells
Barbara Lynn
Crystals
Brenda Lee
Dickie Lee
Jimmy Clanton
Paul Anka
Rick Nelson
Patsy Cline
Larry Finnegan
James Darren
Walter Brennan
Burl Ives
Billy Vaughn
Dick and Deedee
Jimmy Dean
Dion
Billy Joe and The Checkmates
Gary U.S. Bonds
Jimmy Soul
Dee Dee Sharp
Jimmy Smith
King Curtis
Bobby Rydell
Ikettes
Kingston Trio
Eddie Hodges
Gene Pitney
"Peter, Paul and Mary"
Ronnie and The Hi-lites
Beach Boys
Jimmy Gilmer and The Fireballs
Beach Boys
Skeeter Davis
Cascades
Chiffons
Bobby Vinton
Paul and Paula
Little Stevie Wonder
Village Stompers
Impressions
Andy Williams
Angels
Kyu Sakamoto
Lesley Gore
Tymes
"Peter, Paul and Mary"
"Peter, Paul and Mary"
Dale and Grace
Nino Tempo and April Stevens
Surfaris
Al Martino
Rebels
Bobby Darin
Four Seasons
Inez Foxx
Little Peggy March
Chantays
Jan and Dean
Lesley Gore
Eydie Gorme
Dovells
Martha and The Vandellas
Randy and The Rainbows
Rooftop Singers
Jimmy Soul
Beach Boys
Trini Lopez
Tommy Roe
Essex
Dion
Los Indios Tabajaras
Ruby and The Romantics
