Minnie Riperton
Carl Douglas
Doobie Brothers
Sweet
B.J. Thomas
Tony Orlando and Dawn
Janis Ian
Average White Band
Van McCoy and The Soul City Symphony
Labelle
War
Major Harris
Stevie Wonder
Freddy Fender
Isley Brothers
Helen Reddy
Ozark Mountain Daredevil
Ohio Players
Pilot
Carpenters
America
Elton John
Barry Manilow
Olivia Newton-John
Barry Manilow
Harry Chapin
Michael Murphy
Jessi Colter
Wings
10cc
Billy Swan
"Hamilton, Joe Frank and Reynolds"
Morris Albert
Sammy Johns
Linda Ronstadt
Barry White
Olivia Newton-John
Linda Ronstadt
Bazuka
Blackbyrds
Gladys Knight and The Pips
Melissa Manchester
Sugarloaf
Phoebe Snow
Ace
B.T. Express
"Earth, Wind and Fire"
Styx
Grand Funk
Alice Cooper
Carol Douglas
K.C. and The Sunshine Band
Joe Cocker
Paul Anka and Odia Coates
Bad Company
James Taylor
Orleans
Average White Band
Gloria Gaynor
Paul Anka
Donny and Marie Osmond
Grand Funk
Three Degrees
Joe Simon
John Denver
Queen
Eddie Kendricks
B.T. Express
Electric Light Orchestra
Al Green
America
Rufus
Mike Post
Tavares
Ringo Starr
Paul McCartney and Wings
Jethro Tull
Leo Sayer
Elton John
Ray Stevens
Neil Sedaka
Carpenters
Dwight Twilley Band
Ringo Starr
Amazing Rhythm Aces
Bachman-Turner Overdrive
Frankie Valli
Disco Tex and The Sex-O-lettes
Wings
Elton John and Kiki Dee
Johnnie Taylor
Four Seasons
Wild Cherry
Manhattans
Miracles
Paul Simon
Gary Wright
Walter Murphy and The Big Apple Band
Daryl Hall and John Oates
Starland Vocal Band
Barry Manilow
Silver Convention
Diana Ross
Seals and Crofts
Andrea True Connection
Queen
Dorothy Moore
Sylvers
England Dan and John Ford Coley
Hot Chocolate
Nazareth
Silver Convention
Eagles
K.C. and The Sunshine Band
Commodores
Maxine Nightingale
Rhythm Heritage
Ohio Players
Bee Gees
Lou Rawls
David Bowie
Starbuck
Dr. Hook
Bellamy Brothers
Gary Wright
Vicki Sue Robinson
Captain and Tennille
Eric Carmen
Donna Summer
Donny and Marie Osmond
Diana Ross
Rufus
K.C. and The Sunshine Band
Dr. Hook
Henry Gross
Chicago
Boz Scaggs
Peter Frampton
Aerosmith
O'Jays
Fleetwood Mac
Paul Anka
Cliff Richard
Elvin Bishop
C.W. McCall
John Sebastian
"Earth, Wind and Fire"
Tavares
Brothers Johnson
Captain and Tennille
Bay City Rollers
Elton John
Staple Singers
Wings
Wing and A Prayer Fife and Drum Corps
George Benson
Electric Light Orchestra
Silver
Keith Carradine
Harold Melvin and The Bluenotes
War
John Travolta
Sweet
Fleetwood Mac
Beatles
Bee Gees
"Earth, Wind and Fire"
Daryl Hall and John Oates
Beach Boys
Orleans
Queen
Jefferson Starship
Foghat
Ohio Players
David Ruffin
Peter Frampton
Candi Staton
Neil Sedaka
Bay City Rollers
Parliament
Larry Groce
Barry Manilow
Kiss
Rick Dees
Thin Lizzy
Steve Miller Band
Who
Glen Campbell
Rod Stewart
Andy Gibb
Emotions
Barbra Streisand
Hot
Kenny Nolan
Thelma Houston
Rita Coolidge
Alan O'Day
Mary MacGregor
K.C. and The Sunshine Band
ABBA
Leo Sayer
Jimmy Buffett
Electric Light Orchestra
Pablo Cruise
Peter McCann
Stevie Wonder
Eagles
Marvin Gaye
Bill Conti
Glen Campbell
Daryl Hall and John Oates
Leo Sayer
Sylvers
Rose Royce
Marilyn McCoo and Billy Davis Jr.
Steve Miller Band
David Soul
Stephen Bishop
Foreigner
Climax Blues Band
Commodores
Jennifer Warnes
Natalie Cole
Manfred Mann's. Earth Band
Barry Manilow
Atlanta Rhythm Section
Fleetwood Mac
Jacksons
Brick
Peter Frampton
Kenny Rogers
10cc
Shaun Cassidy
James Taylor
"Crosby, Stills and Nash"
Alice Cooper
Johnny Rivers
Andrew Gold
Stevie Wonder
Fleetwood Mac
Heart
Brothers Johnson
Bob Seger and The Silver Bullet Band
Helen Reddy
Marshall Tucker Band
Kansas
Eagles
Barbra Streisand
Engelbert Humperdinck
Steve Miller Band
Burton Cummings
Elvis Presley
Barry Manilow
Ronnie Milsap
Sanford Townsend Band
Foreigner
Dean Friedman
Bread
Meco
Floaters
David Dundas
Boz Scaggs
K.C. and The Sunshine Band
Bay City Rollers
Electric Light Orchestra
Supertramp
Shaun Cassidy
Bee Gees
Spinners
Alice Cooper
Carly Simon
Sylvers
Kenny Nolan
Joe Tex
Rose Royce
Queen
Captain and Tennille
Aerosmith
Dr. Buzzard's Original Savannah Band
Al Stewart
Heatwave
Fleetwood Mac
Elton John
B.J. Thomas
ABBA
Leo Sayer
London Symphony Orchestra
C.J. and Co.
Andy Gibb
Bee Gees
Debby Boone
Bee Gees
Exile
Bee Gees
Player
Andy Gibb
A Taste Of Honey
Commodores
Frankie Valli
Paul Davis
John Travolta and Olivia Newton-John
Samantha Sang
Eric Clapton
Rolling Stones
Billy Joel
Wings
Yvonne Elliman
Chic
Chuck Mangione
Nick Gilder
Sweet
Bonnie Tyler
Queen
Gerry Rafferty
Barry Manilow
Johnny Mathis and Deniece Williams
Peter Brown
Meat Loaf
Raydio
ABBA
Dan Hill
Donna Summer
Olivia Newton-John
Foreigner
Rod Stewart
Roberta Flack and Donny Hathaway
Kansas
Walter Egan
Randy Newman
O'Jays
Natalie Cole
Pablo Cruise
Andy Gibb
John Paul Young
David Gates
Paul Simon
Heatwave
Jay Ferguson
Atlanta Rhythm Section
Bob Seger and The Silver Bullet Band
Toby Beau
Trammps
George Benson
Styx
L.T.D.
Player
Carly Simon
Dolly Parton
Linda Ronstadt
Steely Dan
Anne Murray
"Evelyn ""Champagne"" King"
Little River Band
Jefferson Starship
Eddie Money
Shaun Cassidy
John Travolta and Olivia Newton-john
Lynyrd Skynyrd
Crystal Gayle
Patti Smith
Robert Palmer
Barry Manilow
Heatwave
Rick James
"Earth, Wind and Fire"
Bob Welch
LeBlanc and Carr
Santa Esmeralda
Michael Johnson
Jackson Browne
Kenny Loggins
Chris Rea
Foxy
Electric Light Orchestra
Joe Walsh
Alicia Bridges
High Inergy
Linda Ronstadt
Odyssey
Parliament
Boston
Electric Light Orchestra
Eruption
Bob Welch
ABBA
Rita Coolidge
Bob Seger and The Silver Bullet Band
Steely Dan
Knack
Donna Summer
Chic
Rod Stewart
Peaches and Herb
Gloria Gaynor
Donna Summer
Village People
Anita Ward
Robert John
Bee Gees
Donna Summer
Dr. Hook
David Naughton
Pointer Sisters
Bee Gees
Olivia Newton-John
Blondie
Doobie Brothers
Chic
Barbra Streisand and Neil Diamond
Amii Stewart
Suzi Quatro and Chris Norman
Maxine Nightingale
Jacksons
Melissa Manchester
Supertramp
Billy Joel
Randy Vanwarmer
Raydio
Peaches and Herb
Dionne Warwick
Bee Gees
Cheap Trick
Barbra Streisand
Elton John
Leif Garrett
"Earth, Wind and Fire"
Donna Summer and Brooklyn Dreams
Kenny Rogers
Nicolette Larson
Little River Band
Bonnie Pointer
Toto
Sister Sledge
Dr. Hook
Kenny Rogers
Village People
Frank Mills
Charlie Daniels Band
John Stewart
Wings
Sister Sledge
Bad Company
Hot Chocolate
Cher
"Earth, Wind and Fire"
Andy Gibb
Bobby Caldwell
Ace Frehley
Dire Straits
Chic
Rickie Lee Jones
Alicia Bridges
McFadden and Whitehead
Little River Band
Styx
England Dan and John Ford Coley
Cheryl Lynn
Patrick Hernandez
Electric Light Orchestra
Anne Murray
Ian Matthews
Kiss
Gino Vannelli
G.Q.
Linda Ronstadt
"Earth, Wind and Fire"
Al Stewart
Herb Alpert
Electric Light Orchestra
Eric Clapton
Roger Voudouris
Ambrosia
Eddie Rabbitt
Rex Smith
Alice Cooper
Foreigner
Babys
Instant Funk
Michael Jackson
Robert Palmer
Barry Manilow
Bob Seger and The Silver Bullet Band
Van Halen
Nigel Olsson
Diana Ross
Commodores
G.Q.
Firefall
Blondie
Pink Floyd
Olivia Newton-John
Michael Jackson
Captain and Tennille
Queen
Paul McCartney
"Lipps, Inc."
Billy Joel
Bette Midler
Rupert Holmes
Gary Numan
Smokey Robinson
Spinners
Air Supply
Elton John
Christopher Cross
Diana Ross
K.C. and The Sunshine Band
Styx
Billy Preston and Syreeta
Manhattans
Commodores
Teri De Sario With K.C.
Dr. Hook
Robbie Dupree
Ambrosia
Kenny Loggins
Spinners
Jermaine Jackson
Kenny Rogers and Kim Carnes
Christopher Cross
Dan Fogelberg
Kenny Rogers
Kool and The Gang
Kool and The Gang
S.O.S. Band
Barbra Streisand and Donna Summer
Kim Carnes
M
Pretenders
"Ray, Goodman and Brown"
Stevie Wonder
Shalamar
Cliff Richard
Brothers Johnson
Eagles
Rocky Burnette
Dr. Hook
Rupert Holmes
Bob Seger and The Silver Bullet Band
Donna Summer
Rolling Stones
Herb Alpert
Air Supply
Little River Band
J.D. Souther
Andy Gibb
Pete Townshend
Steve Forbert
Anne Murray
Eagles
Isaac Hayes
Tom Petty and The Heartbreakers
Michael Jackson
Irene Cara
Bob Seger and The Silver Bullet Band
Linda Ronstadt
Benny Mardones
Pure Prairie League
Genesis
Dirt Band
Carole King
Donna Summer
Billy Joel
Neil Sedaka and Dara Sedaka
Charlie Dore
Linda Ronstadt
Michael Jackson
Peaches and Herb
Eagles
Mickey Gilley
Pat Benatar
Dionne Warwick
Eddie Rabbitt
Supertramp
Fleetwood Mac
Daryl Hall and John Oates
Boz Scaggs
Neil Diamond
George Benson
Anne Murray
Kenny Rogers
Fleetwood Mac
Prince
Charlie Daniels Band
Boz Scaggs
Barry Manilow
Joe Walsh
Tom Petty and The Heartbreakers
Kim Carnes
Diana Ross and Lionel Richie
Kenny Rogers
John Lennon
Rick Springfield
Kool and The Gang
Daryl Hall and John Oates
Eddie Rabbitt
Dolly Parton
REO Speedwagon
Joey Scarbury
Sheena Easton
Smokey Robinson
Juice Newton
Blondie
Ray Parker Jr. and Raydio
Blondie
Grover Washington Jr.
Pointer Sisters
Climax Blues Band
John Lennon
A Taste Of Honey
ABBA
Stars On 45
Juice Newton
Neil Diamond
Air Supply
Air Supply
Barbra Streisand and Barry Gibb
Styx
Oak Ridge Boys
REO Speedwagon
Ronnie Milsap
Gino Vannelli
Barbra Streisand
Manhattan Transfer
Foreigner
Rod Stewart
Commodores
Don Mclean
Marty Balin
Diana Ross
Daryl Hall and John Oates
Kenny Rogers
Champaign
Pat Benatar
Greg Kihn Band
Alan Parsons Project
Bruce Springsteen
Franke and The Knockouts
Terri Gibbs
Leo Sayer
Tierra
Styx
Dottie West
Journey
Police
Gary U.S. Bonds
Stevie Nicks With Tom Petty and The Heartbreakers
Delbert McClinton
Cliff Richard
Neil Diamond
John Cougar
Christopher Cross
Queen
Alan Parsons Project
Eric Clapton
Steve Winwood
Stevie Wonder
Neil Diamond
Police
Steely Dan
Stevie Wonder
George Harrison
Eddie Rabbitt
Billy Squier
Alabama
Stanley Clarke and George Duke
Dan Fogelberg
Pablo Cruise
ELO
John Schneider
Pat Benatar
Santana
Barbra Streisand and Barry Gibb
John Lennon
Heart
Ronnie Milsap
Barry Manilow
Daryl Hall and John Oates
Olivia Newton-John and Cliff Richard
Sheena Easton
Beach Boys
Devo
Sheena Easton
Gary Wright
Rosanne Cash
Diana Ross
Boz Scaggs
Andy Gibb
Olivia Newton-John
Survivor
Joan Jett and The Blackhearts
Paul McCartney and Stevie Wonder
J. Geils Band
Human League
John Cougar
John Cougar
Steve Miller Band
Chicago
Soft Cell
Vangelis
Quarterflash
Toto
Daryl Hall and John Oates
Tommy Tutone
Bertie Higgins
Melissa Manchester
Foreigner
Rick Springfield
Juice Newton
Willie Nelson
Cars
Dazz Band
Go-Go's
Ray Parker Jr.
George Benson
Air Supply
Motels
Men At Work
Fleetwood Mac
Alan Parsons Project
"Earth, Wind and Fire"
Journey
Dan Fogelberg
Stevie Nicks and Don Henley
Air Supply
Charlene
Paul Davis
Asia
Little River Band
Buckner and Garcia
Stevie Wonder
Daryl Hall and John Oates
Lindsey Buckingham
Roberta Flack
Juice Newton
Rod Stewart
J. Geils Band
REO Speedwagon
Huey Lewis and The News
Paul Davis
38 Special
Diana Ross
Alabama
Royal Philharmonic Orchestra
"Crosby, Stills and Nash"
Eddie Money
Donna Summer
Karla Bonoff
Quincy Jones
Elton John
Go-Go's
Sheena Easton
America
Daryl Hall and John Oates
A Flock Of Seagulls
Jackson Browne
Commodores
Paul McCartney
Deneice Williams
Kenny Rogers
Journey
Barbra Streisand
Laura Branigan
Elton John
Neil Diamond
Joan Jett and The Blackhearts
Police
Air Supply
Michael McDonald
Kool and The Gang
Ronnie Milsap
Olivia Newton-John
Kool and The Gang
Diana Ross
Go-Go's
Van Halen
Pointer Sisters
Billy Idol
Kim Wilde
Little River Band
Michael Murphy
Rolling Stones
Stevie Wonder
Loverboy
Greg Guidry
Christopher Cross
Kenny Rogers
Stevie Nicks
Police
Michael Jackson
Irene Cara
Men At Work
Michael Jackson
Bonnie Tyler
Daryl Hall and John Oates
Patti Austin and James Ingram
Michael Sembello
Eurythmics
Culture Club
Eddie Rabbitt and Crystal Gayle
Dexy's Midnight Runners
Bob Seger and The Silver Bullet Band
Donna Summer
Sergio Mendes
Duran Duran
David Bowie
Golden Earring
Frida
Greg Kihn Band
Eddy Grant
Thomas Dolby
Toto
Prince
Pretenders
Joe Cocker and Jennifer Warnes
Styx
Lionel Richie
After The Fire
Taco
Marvin Gaye
Human League
Culture Club
Men Without Hats
Toni Basil
Phil Collins
Journey
Daryl Hall and John Oates
Kenny Rogers and Sheena Easton
Prince
Stray Cats
Billy Joel
Stevie Nicks
Billy Joel
Naked Eyes
Lionel Richie
Don Henley
Michael Jackson and Paul McCartney
Kajagoogoo
Adam Ant
Clash
Madness
Men At Work
Duran Duran
Laura Branigan
Rick Springfield
Tubes
Laura Branigan
Styx
Laura Branigan
David Bowie
Kinks
Naked Eyes
Little River Band
Air Supply
Daryl Hall and John Oates
Michael Jackson
Toto
Christopher Cross
Bryan Adams
Kenny Loggins
Lionel Richie
Elton John
Loverboy
Men At Work
Culture Club
Debarge
Sammy Hagar
Dionne Warwick
Journey
Joe Jackson
Quarterflash
Stray Cats
Champaign
Shalamar
Jackson Browne
Moving Pictures
Michael Jackson
Def Leppard
Musical Youth
Spandau Ballet
Frank Stallone
Eric Clapton
Stephen Bishop
Peabo Bryson and Roberta Flack
Tom Petty and The Heartbreakers
Asia
Joe Jackson
"Earth, Wind and Fire"
Prince
Tina Turner
Paul McCartney and Michael Jackson
Kenny Loggins
Phil Collins
Van Halen
Lionel Richie
Yes
Ray Parker Jr.
Culture Club
John Waite
Lionel Richie
Deniece Williams
Bruce Springsteen
Cyndi Lauper
Duran Duran
Cyndi Lauper
Pointer Sisters
Romantics
Laura Branigan
Prince and The Revolution
Daryl Hall and John Oates
Thompson Twins
Kool and The Gang
Stevie Wonder
Rockwell
Matthew Wilder
Nena
Dan Hartman
Sheila E.
Steve Perry
Lionel Richie
Elton John
Cyndi Lauper
Madonna
Corey Hart
Billy Idol
Eurythmics
Billy Joel
Night Ranger
Cars
Olivia Newton-John
Duran Duran
Huey Lewis and The News
Chicago
Scandal
Peabo Bryson
Pointer Sisters
Shannon
Julio Iglesias and Willie Nelson
Billy Ocean
Genesis
Lionel Richie
Elton John
Huey Lewis and The News
Kenny Rogers and Dolly Parton
Pat Benatar
Rod Stewart
Mike Reno and Ann Wilson
ZZ Top
Jacksons
Rick Springfield
Culture Club
Huey Lewis and The News
Cars
Madonna
Bruce Springsteen
Quiet Riot
Irene Cara
Daryl Hall and John Oates
Tracy Ullman
Billy Joel
Bananarama
Wang Chung
K.C.
Pointer Sisters
Ray Parker Jr.
Michael Jackson
Madonna
Ollie And Jerry
John Lennon
Culture Club
Christopher Cross
Debarge
Police
John Cougar Mellencamp
Ratt
Go-Go's
Billy Joel
Kool and The Gang
Christine McVie
Shalamar
Rolling Stones
John Cafferty and The Beaver Brown Band
Duran Duran
Peter Schilling
Cars
Night Ranger
Billy Squier
James Ingram and Michael McDonald
Wham!
Madonna
Wham!
Foreigner
Chaka Khan
Daryl Hall and John Oates
Tears For Fears
Dire Straits
Madonna
a-ha
Paul Young
Philip Bailey and Phil Collins
REO Speedwagon
Starship
Huey Lewis and The News
Simple Minds
Kool and The Gang
John Parr
Glenn Frey
U.S.A. For Africa
Tears For Fears
Stevie Wonder
Whitney Houston
Bryan Adams
Wham!
New Edition
Jan Hammer
Billy Ocean
Teena Marie
Glenn Frey
Ready For The World
Debarge
Phil Collins
Honeydrippers
Duran Duran
Duran Duran
Chicago
Pointer Sisters
Pat Benatar
Commodores
Howard Jones
Jack Wagner
Aretha Franklin
Corey Hart
Phil Collins
Sheena Easton
Whitney Houston
Survivor
Diana Ross
Phil Collins and Marilyn Martin
Prince and The Revolution
Billy Ocean
Don Henley
Murray Head
Sting
Animotion
Tina Turner
Madonna
Tina Turner
Tears For Fears
Harold Faltermeyer
Sade
Mary Jane Girls
Phil Collins
Cyndi Lauper
Bryan Adams
Bruce Springsteen
'Til Tuesday
Kool and The Gang
Eurythmics
ABC
Paul McCartney
Survivor
Bryan Adams
Katrina and The Waves
Wham!
Julian Lennon
Julian Lennon
Power Station
Ashford and Simpson
Madonna
Bruce Springsteen
Daryl Hall and John Oates
Thompson Twins
Debarge
John Cougar Mellencamp
Heart
David Lee Roth
Kool and The Gang
Jermaine Jackson
Time
Bruce Springsteen
Tina Turner
Aretha Franklin
Sting
Lionel Richie
Don Henley
Madonna
Night Ranger
Sheena Easton
Dionne and Friends
Lionel Richie
Klymaxx
Patti Labelle and Michael McDonald
Mr. Mister
Whitney Houston
Eddie Murphy
Survivor
Mr. Mister
Robert Palmer
Whitney Houston
Atlantic Starr
Carl Anderson and Gloria Loring
Peter Cetera
Pet Shop Boys
Billy Ocean
Simple Minds
Heart
Prince and The Revolution
Steve Winwood
Huey Lewis and The News
Simply Red
Peter Gabriel
Starship
Human League
Nu Shooz
Berlin
Falco
Madonna
Bon Jovi
Billy Ocean
Janet Jackson
Heart
Glass Tiger
Madonna
Belinda Carlisle
Level 42
Bananarama
Lionel Richie
Miami Sound Machine
Cyndi Lauper
Kenny Loggins
Janet Jackson
Howard Jones
Sly Fox
Robert Palmer
Miami Sound Machine
Bangles
Dire Straits
Boston
Stacey Q
Jets
Orchestral Manoeuvres In The Dark
Genesis
Sade
INXS
Stevie Nicks
Janet Jackson
Eddie Money
Jermaine Stewart
Lisa Lisa and Cult Jam With Full Force
Outfield
Wham!
Scritti Politti
James Brown
John Cougar Mellencamp
El Debarge
Cameo
Van Halen
Mike and The Mechanics
Tina Turner
John Cougar Mellencamp
Baltimora
Mike and The Mechanics
Michael McDonald
Madonna
Timex Social Club
Dream Academy
Miami Sound Machine
ZZ Top
Cars
Rod Stewart
Sheila E.
Genesis
Regina
Arcadia
Elton John
Phil Collins
Run-D.M.C.
Anita Baker
Moody Blues
Paul McCartney
Starpoint
Daryl Hall
Force M.D.'s
Thompson Twins
Lionel Richie
George Michael
Toto
Stevie Wonder
Bangles
Heart
Gregory Abbott
Whitney Houston
Starship
Robbie Nevil
Whitesnake
Bruce Hornsby and The Range
Bob Seger
Bon Jovi
Los Lobos
Wang Chung
Crowded House
Atlantic Starr
U2
Jody Watley
Lisa Lisa and Cult Jam
Tiffany
Billy Idol
Billy Vera and The Beaters
Chris De Burgh
Whitney Houston
U2
George Michael
Duran Duran
Debbie Gibson
Bill Medley and Jennifer Warnes
Peter Cetera and Amy Grant
Club Nouveau
Madonna
Lisa Lisa and Cult Jam
Cutting Crew
T'pau
Kim Wilde
Georgia Satellites
Aretha Franklin and George Michael
Janet Jackson
Prince
Linda Ronstadt and James Ingram
Genesis
Huey Lewis and The News
Madonna
Jets
Samantha Fox
Michael Jackson and Siedah Garrett
Madonna
Genesis
Janet Jackson
Huey Lewis and The News
Chicago
Fleetwood Mac
Suzanne Vega
Bananarama
Richard Marx
Kenny G
Europe
System
Madonna
Michael Jackson
Prince
Cyndi Lauper
Expose
Dan Hill
Billy Idol
Bruce Hornsby and The Range
Swing Out Sister
Ben E. King
Genesis
Glass Tiger
ABC
Levert
Gloria Estefan and Miami Sound Machine
Whispers
Bon Jovi
Peter Gabriel
Steve Winwood
Expose
Survivor
Herb Alpert
Expose
Fleetwood Mac
Lou Gramm
Crowded House
Bryan Adams
Glenn Medeiros
Bruce Springsteen
Smokey Robinson
Heart
Bruce Willis
Jets
Kool and The Gang
Pretenders
Huey Lewis and The News
Breakfast Club
Lionel Richie
Kenny Loggins
Cutting Crew
Beastie Boys
Pseudo Echo
Ready For The World
George Michael
INXS
George Harrison
Rick Astley
Guns N' Roses
Whitney Houston
Belinda Carlisle
Tiffany
Breathe
Steve Winwood
George Michael
Terence Trent d'Arby
Gloria Estefan and Miami Sound Machine
Cheap Trick
Billy Ocean
Expose
Whitesnake
Escape Club
Def Leppard
Taylor Dayne
Michael Jackson
Debbie Gibson
Robert Palmer
Richard Marx
Eric Carnen
Johnny Hates Jazz
George Michael
Samantha Fox
Phil Collins
Def Leppard
Richard Marx
Debbie Gibson
Whitney Houston
Aerosmith
Bangles
Michael Jackson
Bobby McFerrin
Eric Carnen
UB40
Patric Swayze
Bon Jovi
Beach Boys
Elton John
Rick Astley
George Michael
INXS
Richard Marx
Chicago
Kylie Minogue
Pet Shop Boys and Dusty Springfield
Jets
Information Society
Taylor Dayne
Debbie Gibson
Jody Watley
U2
Belinda Carlisle
Terence Trent d'Arby
Roger
Pebbles
Michael Jackson
Gloria Estefan and Miami Sound Machine
Pebbles
Huey Lewis and The News
INXS
Pretty Poison
New Edition
Jets
Peter Cetera
Cheap Trick
Elton John
Daryl Hall and John Oates
Foreigner
Keith Sweat
Natalie Cole
Tracy Chapman
Icehouse
Bruce Hornsby and The Range
Bobby Brown
Pet Shop Boys
Brenda Russell feat. Joe Esposito
Van Halen
Paul Carrack
Sting
Joan Jett and The Blackhearts
Foreigner
Al B. Sure!
Steve Winwood
Whitney Houston
Gloria Estefan and Miami Sound Machine
George Michael
John Cougar Mellancamp
Brenda K. Starr
Cher
INXS
Steve Winwood
David Lee Roth
Poison
White Lion
Taylor Dayne
Chicago
Bobby Brown
Poison
Paula Abdul
Janet Jackson
Paula Abdul
Bette Midler
Milli Vanilli
Will To Power
Anita Baker
Richard Marx
Boy Meets Girl
Debbie Gibson
Gloria Estefan
Warrant
Milli Vanilli
Roxette
Fine Young Cannibals
Bobby Brown
Phil Collins
Milli Vanilli
Roxette
Bon Jovi
Simply Red
Madonna
New Kids On The Block
Breathe
Milli Vanilli
Martika
Paula Abdul
Mike and The Mechanics
Bangles
Tone Loc
Bad English
Cher
Neneh Cherry
Sheriff
Taylor Dayne
Bon Jovi
Fine Young Cannibals
Sheena Easton
Young M.C.
Great White
Prince
Michael Damian
Jody Watley
B-52's
Bobby Brown
New Kids On The Block
Rod Stewart
Love and Rockets
New Kids On The Block
Def Leppard
Richard Marx
Madonna
Dino
Donny Osmond
Tears For Fears
Madonna
White Lion
Skid Row
Duran Duran
.38 Special
Karyn White
Tone Loc
Bangles
Natalie Cole
Cure
Karyn White
Jeff Healey Band
Guns N' Roses
Eddie Money
New Kids On The Block
Guns N' Roses
Surface
R.E.M.
Lita Ford
Tiffany
Cher and Peter Cetera
Bobby Brown
Aerosmith
Bon Jovi
When In Rome
Edie Brickell and The New Bohemians
Boys Club
Guns N' Roses
Samantha Fox
Rick Astley
Vanessa Williams
Babyface
Alice Cooper
Donna Summer
Michael Jackson
Deon Estus
Bobby Brown
Sa-fire
Expose
Ann Wilson and Robin Zander
Don Henley
Soul II Soul
Wilson Phillips
Roxette
Sinead O'Connor
Bell Biv Devoe
Madonna
Mariah Carey
Phil Collins
En Vogue
Billy Idol
Jon Bon Jovi
Bell Biv Devoe
Michael Bolton
Technotronic
Paula Abdul
Janet Jackson
Heart
Maxi Priest
Alannah Myles
Wilson Phillips
Linda Ronstadt and Aaron Neville
Lisa Stansfield
Calloway
Johnny Gill
Glenn Medeiros feat. Bobby Brown
Sweet Sensation
Snap
Nelson
Taylor Dayne
Jane Child
Seduction
Linear
Poison
New Kids On The Block
Roxette
Billy Joel
James Ingram
Rod Stewart
Janet Jackson
Tommy Page
B-52's
Jody Watley
Soul II Soul
Luther Vandross
Janet Jackson
Vanilla Ice
Milli Vanilli
M.C. Hammer
Taylor Dayne
Janet Jackson
Michel'le
George Michael
Michael Bolton
Phil Collins
After 7
M.C. Hammer
Phil Collins
Lou Gramm
Phil Collins
Janet Jackson
After 7
Aerosmith
Digital Underground
Taylor Dayne
Tom Petty
Pebbles
Depeche Mode
Tesla
Bad English
Tyler Collins
Go West
Chicago
Skid Row
Technotronic
Gloria Estefan
Faith No More
Mariah Carey
Cher
B-52s
Milli Vanilli
Dino
Black Box
Billy Joel
Babyface
Paul Young
D-Mob With Cathy Dennis
Paula Abdul
Cover Girls
Michael Bolton
Keith Sweat
New Kids On The Block
Aerosmith
Kiss
Time
Biz Markie
A'me Lorain
Motley Crue
Jive Bunny and The Master Mixers
Prince
Mellow Man Ace
Kyper
Bryan Adams
Color Me Badd
C+C Music Factory
Paula Abdul
Timmy T
EMF
Extreme
Hi-Five
Surface
Amy Grant
Boyz II Men
Stevie B
Mariah Carey
Damn Yankees
Bette Midler
Whitney Houston
Jesus Jones
Color Me Badd
Janet Jackson
Marky Mark and The Funky Bunch feat. Loleatta Holloway
Madonna
Mariah Carey
Roxette
Karyn White
Tara Kemp
Mariah Carey
Wilson Phillips
Amy Grant
Ralph Tresvant
Cathy Dennis
Londonbeat
Natural Selection
R.E.M.
Gloria Estefan
Lenny Kravitz
C+C Music Factory
Celine Dion
D.J. Jazzy Jeff and The Fresh Prince
Scorpions
Rhythm Syndicate
Paula Abdul
Whitney Houston
Firehouse
Roxette
Tracie Spencer
Extreme
Luther Vandross
Wilson Phillips
Michael Bolton
Rod Stewart
C+C Music Factory
Divinyls
DMA
Another Bad Creation
Bonnie Raitt
Nelson
Vanilla Ice
Corina
Bryan Adams
Hi-Five
KLF
Michael Bolton
Enigrna
LL Cool J
Escape Club
Prince And The N.P.G.
Heavy D. and The Boyz
Styx
Mariah Carey
Rick Astley
UB40
UB40
Tesla
Cathy Dennis
Seal
Keith Sweat
Michael W. Smith
Poison
Chris Issak
Oleta Adams
Tevin Campbell
Queensryche
Will To Power
Tara Kemp
Jesus Jones
Cathy Dennis
Aaron Neville
Black Box
Gerardo
INXS
Deee-Lite
Sting
Chesney Hawkes
Naughty By Nature
George Michael
Warrant
Winger
Salt-N-Pepa
Rod Stewart
R.E.M.
Boyz II Men
Sir Mix-a-Lot
Kris Kross
Vanessa Williams
TLC
Eric Clapton
En Vogue
Red Hot Chili Peppers
Color Me Badd
Jon Secada
Shanice
Mr. Big
Right Said Fred
Michael Jackson
Billy Ray Cyrus
Mariah Carey
Guns N' Roses
Tom Cochrane
Michael Jackson
CeCe Peniston
Madonna
Patty Smyth and Don Henley
Mariah Carey
House Of Pain
Prince and The N.P.G.
George Michael and Elton John
Atlantic Starr
Celine Dion
En Vogue
Joe Public
Jodeci
Nirvana
Bobby Brown
Sophie B. Hawkins
Teven Campbell
TLC
Boyz II Men
Technotronic
Queen
Arrested Development
Luther Vandross and Janet Jackson
Mariah Carey
Elton John
P.M. Dawn
Shakespear's Sister
Hammer
K.W.S.
Mint Condition
Cover Girls
Hi-Five
P.M. Dawn
Amy Grant
Toad The Wet Sprocket
Michael Bolton
Genesis
Richard Marx
U2
George Michael
Heights
U2
CeCe Peniston
Genesis
Karyn White
Calms Dion And Peabo Bryson
Kris Kross
Michael Jackson
Arrested Development
Genesis
Marky Mark And The Funky Bunch
Bryan Adams
Cure
Ugly Kid Joe
Paula Abdul
Bryan Adams
Snap
Hammer
Michael Bolton
N2Deep
Kathy Troccoli
Def Leppard
Richard Marx
Firehouse
Jade
