Year,Position,Artist,Song Title
1970,1,Simon and Garfunkel,Bridge Over Troubled Water
1970,2,Carpenters,(They Long To Be) Close To You
1970,3,Guess Who,American Woman / No Sugar Tonight
1970,4,B.J. Thomas,Raindrops Keep Fallin' On My Head
1970,5,Edwin Starr,War
1970,6,Diana Ross,Ain't No Mountain High Enough
1970,7,Jackson 5,I'll Be There
1970,8,Rare Earth,Get Ready
1970,9,Beatles,Let It Be
1970,10,Freda Payne,Band Of Gold
1970,11,Three Dog Night,Mama Told Me (Not To Come)
1970,12,Ray Stevens,Everything Is Beautiful
1970,13,Bread,Make It With You
1970,14,Vanity Fare,Hitchin' A Ride
1970,15,Jackson 5,ABC
1970,16,Jackson 5,The Love You Save
1970,17,Neil Diamond,Cracklin' Rose
1970,18,Dawn,Candida
1970,19,Sly and The Family Stone,Thank You (Fallettin Me Be Mice Elf Again)
1970,20,Eric Burdon and War,Spill The Wine
1970,21,Five Stairsteps,O-o-h Child
1970,22,Norman Greenbaum,Spirit In The Sky
1970,23,Melanie and The Edwin Hawkins Singers,Lay Down (Candles In The Rain)
1970,24,Temptations,Ball Of Confusion (That's What The World Is Today)
1970,25,Moments,Love On A Two Way Street
1970,26,Jackson 5,I Want You Back
1970,27,Poppy Family,Which Way You Goin' Billy?
1970,28,Free,All Right Now
1970,29,Bobby Sherman,"Julie, Do Ya Love Me"
1970,30,Sugarloaf,Green-Eyed Lady
1970,31,Stevie Wonder,"Signed Sealed, Delivered (I'm Yours)"
1970,32,Blues Image,Ride Captain Ride
1970,33,Shocking Blue,Venus
1970,34,John Lennon,Instant Karma (We All Shine On)
1970,35,Clarence Carter,Patches
1970,36,Creedence Clearwater Revival,Lookin' Out My Back Door / Long As I Can See The Light
1970,37,Brook Benton,Rainy Night In Georgia
1970,38,Kenny Rogers and The First Edition,Something's Burning
1970,39,Chairmen Of The Board,Give Me Just A Little More Time
1970,40,Edison Lighthouse,Love Grows (Where My Rosemary Goes)
1970,41,Beatles,The Long And Winding Road / For You Blue
1970,42,Anne Murray,Snowbird
1970,43,Marmalade,Reflections Of My Life
1970,44,Eddie Holman,Hey There Lonely Girl
1970,45,Jaggerz,The Rapper
1970,46,Hollies,"He Ain't Heavy, He's My Brother"
1970,47,Alive and Kicking,"Tighter, Tighter"
1970,48,Badfinger,Come And Get It
1970,49,Simon and Garfunkel,Cecelia
1970,50,Charles Wright and The Watts 103rd Street Rhythm Band,Love Land
1970,51,Tyrone Davis,Turn Back The Hands Of Time
1970,52,Kinks,Lola
1970,53,Mungo Jerry,In The Summertime
1970,54,R. Dean Taylor,Indiana Wants Me
1970,55,Rare Earth,(I Know) I'm Losing You
1970,56,Bobby Sherman,"Easy Come, Easy Go"
1970,57,Charles Wright and The Watts 103rd Street Rhythm Band,Express Yourself
1970,58,Four Tops,Still Water
1970,59,Chicago,Make Me Smile
1970,60,Frijid Pink,House Of The Rising Sun
1970,61,Chicago,25 Or 6 To 4
1970,62,White Plains,My Baby Loves Lovin'
1970,63,Friends Of Distinction,Love Or Let Me Be Lonely
1970,64,Brotherhood Of Man,United We Stand
1970,65,Carpenters,We've Only Just Begun
1970,66,Mark Lindsay,Arizona
1970,67,James Taylor,Fire And Rain
1970,68,Gene Chandler,Groovy Situation
1970,69,Santana,Evil Ways
1970,70,Guess Who,No Time
1970,71,Delfonics,Didn't I (Blow Your Mind This Time)
1970,72,Elvis Presley,The Wonder Of You / Mama Liked The Roses
1970,73,Creedence Clearwater Revival,Up Around The Bend / Run Through The Jungle
1970,74,Ronnie Dyson,(If You Let Me Make Love To You Then) Why Can't I Touch You
1970,75,B.J. Thomas,I Just Can't Help Believing
1970,76,Spinners,It's A Shame
1970,77,Bobbi Martin,For The Love Of Him
1970,78,Mountain,Mississippi Queen
1970,79,Ike and Tina Turner,I Want To Take You Higher
1970,80,Joe Cocker,The Letter
1970,81,Tee Set,Ma Belle Amie
1970,82,Originals,The Bells
1970,83,Christie,Yellow River
1970,84,100 Proof Aged In Soul,Somebody's Been Sleeping
1970,85,Ides Of March,Vehicle
1970,86,Pipkins,Gimme Dat Ding
1970,87,Robin McNamara,Lay A Little Lovin' On Me
1970,88,Supremes,Up The Ladder To The Roof
1970,89,Creedence Clearwater Revival,Travelin' Band / Who'll Stop The Rain
1970,90,Sandpipers,Come Saturday Morning
1970,91,Temptations,Psychedelic Shack
1970,92,Tom Jones,Without Love (There Is Nothing)
1970,93,Pacific Gas and Electric,Are You Ready?
1970,94,"Crosby, Stills, Nash and Young",Woodstock
1970,95,Dionne Warwick,I'll Never Fall In Love Again
1970,96,New Seekers,Look What They've Done To My Song Ma
1970,97,Joe South,Walk A Mile In My Shoes
1970,98,B.B. King,The Thrill Is Gone
1970,99,Glen Campbell,It's Only Make Believe
1970,100,Aretha Franklin,Call Me
