Year,Position,Artist,Song Title
1966,1,Sgt. Barry Sadler,The Ballad Of The Green Berets
1966,2,Association,Cherish
1966,3,Righteous Brothers,(You're My) Soul And Inspiration
1966,4,Four Tops,Reach Out I'll Be There
1966,5,? and The Mysterians,96 Tears
1966,6,Monkees,Last Train To Clarksville
1966,7,Mama's and The Papa's,"Monday, Monday"
1966,8,Supremes,You Can't Hurry Love
1966,9,Johnny Rivers,Poor Side Of Town
1966,10,Mama's and The Papa's,California Dreamin'
1966,11,Lovin' Spoonful,Summer In The City
1966,12,Roger Williams,Born Free
1966,13,Nancy Sinatra,These Boots Are Made For Walkin'
1966,14,Jimmy Ruffin,What Becomes Of The Brokenhearted
1966,15,Frank Sinatra,Strangers In The Night
1966,16,Beatles,We Can Work It Out
1966,17,Young Rascals,Good Lovin'
1966,18,New Vaudeville Band,Winchester Cathedral
1966,19,Tommy James and The Shondells,Hanky Panky
1966,20,Percy Sledge,When A Man Loves A Woman
1966,21,Rolling Stones,Paint It Black
1966,22,Petula Clark,My Love
1966,23,Lou Christie,Lightnin' Strikes
1966,24,Troggs,Wild Thing
1966,25,Paul Revere and The Raiders,Kicks
1966,26,Donovan,Sunshine Superman
1966,27,Bobby Hebb,Sunny
1966,28,Beatles,Paperback Writer
1966,29,Happenings,See You In September
1966,30,Supremes,You Keep Me Hangin' On
1966,31,Sam The Sham and The Pharaohs,Lil' Red Riding Hood
1966,32,Mitch Ryder and The Detroit Wheels,Devil With A Blue Dress On and Good Golly Miss Molly (Medley)
1966,33,Beach Boys,Good Vibrations
1966,34,Mindbenders,A Groovy Kind Of Love
1966,35,Dusty Springfield,You Don't Have To Say You Love Me
1966,36,Capitols,Cool Jerk
1966,37,Sandy Posey,Born A Woman
1966,38,Cyrkle,Red Rubber Ball
1966,39,Carla Thomas,B-A-B-Y
1966,40,Left Banke,Walk Away Renee
1966,41,Lovin' Spoonful,Daydream
1966,42,Outsiders,Time Won't Let Me
1966,43,Tommy Roe,Hooray For Hazel
1966,44,Tommy Roe,Sweet Pea
1966,45,Hollies,Bus Stop
1966,46,James and Bobby Purify,I'm Your Puppet
1966,47,B.J. Thomas and The Triumphs,I'm So Lonesome I Could Cry
1966,48,Temptations,Ain't Too Proud To Beg
1966,49,Standells,Dirty Water
1966,50,Bob Lind,Elusive Butterfly
1966,51,Simon and Garfunkel,I Am A Rock
1966,52,Ray Charles,Crying Time
1966,53,Johnny Rivers,Secret Agent Man
1966,54,Simon and Garfunkel,The Sounds Of Silence
1966,55,Peter and Gordon,Lady Godiva
1966,56,Simon and Garfunkel,Homeward Bound
1966,57,Lovin' Spoonful,Did You Ever Have To Make Up Your Mind?
1966,58,Robert Parker,Barefootin'
1966,59,Stevie Wonder,Uptight (Everything's Alright)
1966,60,Cher,Bang Bang
1966,61,Beach Boys,Sloop John B
1966,62,Rolling Stones,19th Nervous Breakdown
1966,63,Surfaris,Wipe Out
1966,64,Count Five,Psychotic Reaction
1966,65,Temptations,Beauty Is Only Skin Deep
1966,66,T-Bones,No Matter What Shape (Your Stomach Is In)
1966,67,Paul Revere and The Raiders,Just Like Me
1966,68,Deon Jackson,Love Makes The World Go Round
1966,69,Crispian St. Peters,The Pied Piper
1966,70,Brenda Lee,Coming On Strong
1966,71,Ray Conniff and The Singers,Somewhere My Love
1966,72,David Houston,Almost Persuaded
1966,73,Bobby Darin,If I Were A Carpenter
1966,74,Marvelettes,Don't Mess With Bill
1966,75,Neil Diamond,"Cherry, Cherry"
1966,76,Lee Dorsey,Working In The Coal Mine
1966,77,Dionne Warwick,Message To Michael
1966,78,Lou Rawls,Love Is A Hurtin' Thing
1966,79,Beach Boys,Barbara Ann
1966,80,Shadows Of Knight,Gloria
1966,81,Supremes,My World Is Empty Without You
1966,82,Bob Dylan,Rainy Day Women #12 And 35
1966,83,Sandpipers,Guantanamera
1966,84,Wilson Pickett,"Land Of 1,000 Dances"
1966,85,Shades Of Blue,Oh How Happy
1966,86,Peter and Gordon,Woman
1966,87,Turtles,You Baby
1966,88,Vogues,Five O'clock World
1966,89,Los Bravos,Black Is Black
1966,90,Beatles,Nowhere Man
1966,91,Herman's Hermits,Dandy
1966,92,Slim Harpo,Baby Scratch My Back
1966,93,Gary Lewis and The Playboys,She's Just My Style
1966,94,Chris Montez,The More I See You
1966,95,Bobby Fuller Four,I Fought The Law
1966,96,Beatles,Yellow Submarine
1966,97,Paul Revere and The Raiders,Hungry
1966,98,Herb Alpert and The Tijuana Brass,Zorba The Greek
1966,99,Yardbirds,Shapes Of Things
1966,100,Wilson Pickett,634-5789
