Year,Position,Artist,Song Title
1974,1,Barbra Streisand,The Way We Were
1974,2,Terry Jacks,Seasons In The Sun
1974,3,Love Unlimited Orchestra,Love's Theme
1974,4,Redbone,Come And Get Your Love
1974,5,Jackson 5,Dancing Machine
1974,6,Grand Funk Railroad,The Loco-Motion
1974,7,MFSB,TSOP
1974,8,Ray Stevens,The Streak
1974,9,Elton John,Bennie And The Jets
1974,10,Mac Davis,One Hell Of A Woman
1974,11,Aretha Franklin,Until You Come Back To Me (That's What I'm Gonna Do)
1974,12,Kool and The Gang,Jungle Boogie
1974,13,Maria Muldaur,Midnight At The Oasis
1974,14,Stylistics,You Make Me Feel Brand New
1974,15,Al Wilson,Show And Tell
1974,16,Jim Stafford,Spiders And Snakes
1974,17,David Essex,Rock On
1974,18,John Denver,Sunshine On My Shoulders
1974,19,Blue Magic,Sideshow
1974,20,Blue Swede,Hooked On A Feeling
1974,21,Bo Donaldson and The Heywoods,Billy Don't Be A Hero
1974,22,Paul McCartney and Wings,Band On The Run
1974,23,Charlie Rich,The Most Beautiful Girl
1974,24,Jim Croce,Time In A Bottle
1974,25,John Denver,Annie's Song
1974,26,Paul Anka,(You're) Having My Baby
1974,27,Olivia Newton-John,Let Me Be There
1974,28,Gordon Lightfoot,Sundown
1974,29,Andy Kim,Rock Me Gently
1974,30,Eddie Kendricks,Boogie Down
1974,31,Ringo Starr,You're Sixteen
1974,32,Olivia Newton-John,If You Love Me (Let Me Know)
1974,33,Cher,Dark Lady
1974,34,Gladys Knight and The Pips,Best Thing That Ever Happened To Me
1974,35,Roberta Flack,Feel Like Makin' Love
1974,36,Main Ingredient,Just Don't Want To Be Lonely
1974,37,Billy Preston,Nothing From Nothing
1974,38,George McCrae,Rock Your Baby
1974,39,Carpenters,Top Of The World
1974,40,Steve Miller Band,The Joker
1974,41,Gladys Knight and The Pips,I've Got To Use My Imagination
1974,42,Three Dog Night,The Show Must Go On
1974,43,Hues Corporation,Rock The Boat
1974,44,Brownsville Station,Smokin' In The Boy's Room
1974,45,Stevie Wonder,Living For The City
1974,46,Dionne Warwick and The Spinners,Then Came You
1974,47,Paper Lace,The Night Chicago Died
1974,48,Marvin Hamlisch,The Entertainer
1974,49,ABBA,Waterloo
1974,50,Hollies,The Air That I Breathe
1974,51,Steely Dan,Rikki Don't Lose That Number
1974,52,Carly Simon,Mockingbird
1974,53,Joni Mitchell,Help Me
1974,54,Anne Murray,You Won't See Me
1974,55,Barry White,"Never, Never Gonna Give You Up"
1974,56,Rufus,Tell Me Something Good
1974,57,Helen Reddy,You And Me Against The World
1974,58,Righteous Brothers,Rock And Roll Heaven
1974,59,Kool and The Gang,Hollywood Swinging
1974,60,William Devaughn,Be Thankful For What You Got
1974,61,Johnny Bristol,Hang On In There Baby
1974,62,Mocedades,Eres Tu (Touch The Wind)
1974,63,Bachman-Turner Overdrive,Takin' Care Of Business
1974,64,Golden Earring,Radar Love
1974,65,Dave Loggins,Please Come To Boston
1974,66,Wet Willie,Keep On Smilin'
1974,67,Bobby Womack,Lookin' For A Love
1974,68,O'Jays,Put Your Hands Together
1974,69,Gladys Knight and The Pips,On And On
1974,70,Cat Stevens,Oh Very Young
1974,71,Helen Reddy,Leave Me Alone (Ruby Red Dress)
1974,72,Chicago,(I've Been) Searchin' So Long
1974,73,Elton John,Goodbye Yellow Brick Road
1974,74,Ringo Starr,Oh My My
1974,75,O'Jays,For The Love Of Money
1974,76,Eric Clapton,I Shot The Sheriff
1974,77,Paul McCartney and Wings,Jet
1974,78,Elton John,Don't Let The Sun Go Down On Me
1974,79,Mike Oldfield,Tubular Bells
1974,80,Anne Murray,A Love Song
1974,81,Donny and Marie Osmond,I'm Leaving It All Up To You
1974,82,Todd Rundgren,"Hello, It's Me"
1974,83,Tom T. Hall,I Love
1974,84,Guess Who,Clap For The Wolfman
1974,85,Jim Croce,I'll Have To Say I Love You In A Song
1974,86,Sister Janet Mead,The Lord's Prayer
1974,87,Lamont Dozier,Trying To Hold On To My Woman
1974,88,Stevie Wonder,Don't You Worry 'Bout A Thing
1974,89,Charlie Rich,A Very Special Love Song
1974,90,Jim Stafford,My Girl Bill
1974,91,Diana Ross and Marvin Gaye,My Mistake Was To Love You
1974,92,Paul McCartney and Wings,Helen Wheels
1974,93,Jim Stafford,Wildwood Weed
1974,94,First Class,Beach Baby
1974,95,War,Me And Baby Brother
1974,96,Stylistics,Rockin' Roll Baby
1974,97,Olivia Newton-John,I Honestly Love You
1974,98,Chicago,Call On Me
1974,99,Fancy,Wild Thing
1974,100,Spinners,"Mighty Love, Pt. 1"
