Year,Position,Artist,Song Title
1999,1,Cher,Believe
1999,2,TLC,No Scrubs
1999,3,Monica,Angel Of Mine
1999,4,Whitney Houston,Heartbreak Hotel
1999,5,Britney Spears,...Baby One More Time
1999,6,Sixpence None The Richer,Kiss Me
1999,7,Christina Aguilera,Genie In A Bottle
1999,8,Sugar Ray,Every Morning
1999,9,Deborah Cox,Nobody's Supposed To Be Here
1999,10,Ricky Martin,Livin' La Vida Loca
1999,11,702,Where My Girls At?
1999,12,Jennifer Lopez,If You Had My Love
1999,13,Goo Goo Dolls,Slide
1999,14,Brandy,Have You Ever?
1999,15,Backstreet Boys,I Want It That Way
1999,16,R. Kelly and Celine Dion,I'm Your Angel
1999,17,Smash Mouth,All Star
1999,18,Sarah McLachlan,Angel
1999,19,Santana feat. Rob Thomas,Smooth
1999,20,TLC,Unpretty
1999,21,Destiny's Child,"Bills, Bills, Bills"
1999,22,Eagle-Eye Cherry,Save Tonight
1999,23,Pearl Jam,Last Kiss
1999,24,Maxwell,Fortunate
1999,25,Backstreet Boys,All I Have To Give
1999,26,Enrique Iglesias,Bailamos
1999,27,Busta Rhymes feat. Janet,What's It Gonna Be?!
1999,28,Everlast,What It's Like
1999,29,Lenny Kravitz,Fly Away
1999,30,Sugar Ray,Someday
1999,31,Divine,Lately
1999,32,Shania Twain,That Don't Impress Me Much
1999,33,Will Smith feat. Dru Hill and Kool Moe Dee,Wild Wild West
1999,34,Red Hot Chili Peppers,Scar Tissue
1999,35,Mariah Carey feat. Jay-Z,Heartbreaker
1999,36,Mariah Carey,I Still Believe
1999,37,98 Degrees,The Hardest Thing
1999,38,LFO,Summer Girls
1999,39,Jay-Z feat. Amil (Of Major Coinz) and Ja,Can I Get A...
1999,40,Third Eye Blind,Jumper
1999,41,Lauryn Hill,Doo Wop (That Thing)
1999,42,Lou Bega,Mambo No. 5 (A Little Bit Of...)
1999,43,Tyrese,Sweet Lady
1999,44,Whitney Houston,It's Not Right But It's Okay
1999,45,'N Sync,(God Must Have Spent) A Little More Time On You
1999,46,Shawn Mullins,Lullaby
1999,47,112 feat. Lil' Zane,Anywhere
1999,48,K-Ci and JoJo,Tell Me It's Real
1999,49,Matchbox 20,Back 2 Good
1999,50,Blaque,808
1999,51,Tal Bachman,She's So High
1999,52,Ricky Martin,She's All I Ever Had
1999,53,Will Smith,Miami
1999,54,Jewel,Hands
1999,55,JT Money feat. Sole,Who Dat
1999,56,Tim McGraw,Please Remember Me
1999,57,Shania Twain,From This Moment On
1999,58,Faith Evans,Love Like This
1999,59,Jesse Powell,You
1999,60,Total feat. Missy Elliott,Trippin'
1999,61,Silk,If You (Lovin' Me)
1999,62,Lauryn Hill,Ex-Factor
1999,63,Jordan Knight,Give It To You
1999,64,Goo Goo Dolls,Black Balloon
1999,65,Eric Benet feat. Tamia,Spend My Life With You
1999,66,Dru Hill,These Are The Times
1999,67,Mark Chesnutt,I Don't Want To Miss A Thing
1999,68,98 Degrees,I Do (Cherish You)
1999,69,98 Degrees,Because Of You
1999,70,Sarah McLachlan,I Will Remember You (Live)
1999,71,Chante Moore,Chante's Got A Man
1999,72,Case,Happily Ever After
1999,73,Whitney Houston,My Love Is Your Love
1999,74,Faith Evans feat. Puff Daddy,All Night Long
1999,75,Juvenile feat. Mannie Fresh and Lil' Wayne,Back That Thang Up
1999,76,Brandy,Almost Doesn't Count
1999,77,Shania Twain,Man! I Feel Like A Woman!
1999,78,Len,Steal My Sunshine
1999,79,Marc Anthony,I Need To Know
1999,80,Ginuwine,So Anxious
1999,81,Case and Joe,Faded Pictures
1999,82,Brian McKnight,Back At One
1999,83,R. Kelly,When A Woman's Fed Up
1999,84,Kenny Chesney,How Forever Feels
1999,85,Lonestar,Amazed
1999,86,Britney Spears,Sometimes
1999,87,Mo Thugs Family feat. Bone Thugs-N-Harmony,Ghetto Cowboy
1999,88,Fastball,Out Of My Head
1999,89,Jay-Z,Hard Knock Life (Ghetto Anthem)
1999,90,Naughty By Nature feat. Zhane,Jamboree
1999,91,BLACKstreet and Mya feat. Mase and Blinky Blink,Take Me There
1999,92,Joey McIntyre,Stay The Same
1999,93,Jo Dee Messina,Lesson In Leavin'
1999,94,Goo Goo Dolls,Iris
1999,95,Puff Daddy feat. R. Kelly,Satisfy You
1999,96,Citizen King,Better Days (And The Bottom Drops Out)
1999,97,'N Sync and Gloria Estefan,Music Of My Heart
1999,98,George Strait,Write This Down
1999,99,Whitney Houston and Mariah Carey,When You Believe
1999,100,Alabama feat. 'N Sync,God Must Have Spent A Little More Time On You
