Year,Position,Artist,Song Title
1973,1,Tony Orlando and Dawn,Tie A Yellow Ribbon Round The Ole Oak Tree
1973,2,Jim Croce,Bad Bad Leroy Brown
1973,3,Roberta Flack,Killing Me Softly With His Song
1973,4,Marvin Gaye,Let's Get It On
1973,5,Paul McCartney and Wings,My Love
1973,6,Kris Kristofferson,Why Me
1973,7,Elton John,Crocodile Rock
1973,8,Billy Preston,Will It Go Round In Circles
1973,9,Carly Simon,You're So Vain
1973,10,Diana Ross,Touch Me In The Morning
1973,11,Vicki Lawrence,The Night The Lights Went Out In Georgia
1973,12,Clint Holmes,Playground In My Mind
1973,13,Stories,Brother Louie
1973,14,Helen Reddy,Delta Dawn
1973,15,Billy Paul,Me And Mrs. Jones
1973,16,Edgar Winter Group,Frankenstein
1973,17,Dobie Gray,Drift Away
1973,18,Sweet,Little Willy
1973,19,Stevie Wonder,You Are The Sunshine Of My Life
1973,20,Cher,Half Breed
1973,21,Isley Bros.,That Lady
1973,22,Sylvia,Pillow Talk
1973,23,Grand Funk Railroad,We're An American Band
1973,24,Dr. John,"Right Place, Wrong Time"
1973,25,Skylark,Wildflower
1973,26,Stevie Wonder,Superstition
1973,27,Paul Simon,Loves Me Like A Rock
1973,28,Maureen McGovern,The Morning After
1973,29,John Denver,Rocky Mountain High
1973,30,Stealers Wheel,Stuck In The Middle With You
1973,31,Three Dog Night,Shambala
1973,32,O'Jays,Love Train
1973,33,Barry White,I'm Gonna Love You Just A Little More
1973,34,Tony Orlando and Dawn,"Say, Has Anybody Seen My Sweet Gypsy Rose"
1973,35,Eddie Kendricks,Keep On Truckin' (Pt. 1)
1973,36,King Harvest,Dancing In The Moonlight
1973,37,Anne Murray,Danny's Song
1973,38,"Bobby ""Boris"" Pickett and The Crypt Kickers",Monster Mash
1973,39,Bloodstone,Natural High
1973,40,Seals and Crofts,Diamond Girl
1973,41,Doobie Brothers,Long Train Running
1973,42,George Harrison,Give Me Love (Give Me Peace On Earth)
1973,43,Sly and The Family Stone,If You Want Me To Stay
1973,44,Jermaine Jackson,Daddy's Home
1973,45,Gladys Knight and The Pips,Neither One Of Us (Wants To Be The First To Say Goodbye)
1973,46,New York City,I'm Doing Fine Now
1973,47,Spinners,Could It Be I'm Falling In Love
1973,48,Elton John,Daniel
1973,49,Gladys Knight and The Pips,Midnight Train To Georgia
1973,50,Deep Purple,Smoke On The Water
1973,51,Dr. Hook and The Medicine Show,The Cover Of Rolling Stone
1973,52,Charlie Rich,Behind Closed Doors
1973,53,Loggins and Messina,Your Mama Don't Dance
1973,54,Chicago,Feelin' Stronger Every Day
1973,55,War,The Cisco Kid
1973,56,Wings,Live And Let Die
1973,57,Hurricane Smith,"Oh, Babe, What Would You Say?"
1973,58,Johnnie Taylor,I Believe In You
1973,59,Carpenters,Sing
1973,60,Four Tops,Ain't No Woman (Like The One I Got)
1973,61,Eric Weissberg and Steve Mandel,Dueling Banjos
1973,62,Stevie Wonder,Higher Ground
1973,63,Al Green,Here I Am (Come And Take Me)
1973,64,B.W. Stevenson,My Maria
1973,65,Curtis Mayfield,Superfly
1973,66,Gilbert O'Sullivan,Get Down
1973,67,Edward Bear,Last Song
1973,68,Steely Dan,Reelin' In The Years
1973,69,Focus,Hocus Pocus
1973,70,Carpenters,Yesterday Once More
1973,71,Bette Midler,Boogie Woogie Bugle Boy
1973,72,Gilbert O'Sullivan,Clair
1973,73,Steely Dan,Do It Again
1973,74,Paul Simon,Kodachrome
1973,75,Timmy Thomas,Why Can't We Live Together
1973,76,Tower Of Power,So Very Hard To Go
1973,77,Bette Midler,Do You Want To Dance?
1973,78,Johnny Rivers,Rockin' Pneumonia And The Boogie Woogie Flu
1973,79,Allman Brothers,Ramblin' Man
1973,80,Temptations,Masterpiece
1973,81,Helen Reddy,Peaceful
1973,82,Spinners,One Of A Kind (Love Affair)
1973,83,Donna Fargo,Funny Face
1973,84,Ohio Players,Funky Worm
1973,85,Rolling Stones,Angie
1973,86,Blue Ridge Rangers,Jambalaya (On The Bayou)
1973,87,Lobo,Don't Expect Me To Be Your Friend
1973,88,Stylistics,Break Up To Make Up
1973,89,Jud Strunk,Daisy A Day
1973,90,Deodato,Also Sprach Zarathustra (2001)
1973,91,Johnny Nash,Stir It Up
1973,92,Pink Floyd,Money
1973,93,War,Gypsy Man
1973,94,War,The World Is A Ghetto
1973,95,Pointer Sisters,Yes We Can Can
1973,96,Edgar Winter Group,Free Ride
1973,97,David Bowie,Space Oddity
1973,98,Albert Hammond,It Never Rains In Southern California
1973,99,Donny Osmond,The Twelfth Of Never
1973,100,Temptations,Papa Was A Rolling Stone
