Year,Position,Artist,Song Title
1977,1,Rod Stewart,Tonight's The Night (Gonna Be Alright)
1977,2,Andy Gibb,I Just Want To Be Your Everything
1977,3,Emotions,Best Of My Love
1977,4,Barbra Streisand,"Love Theme From ""A Star Is Born"""
1977,5,Hot,Angel In Your Arms
1977,6,Kenny Nolan,I Like Dreamin'
1977,7,Thelma Houston,Don't Leave Me This Way
1977,8,Rita Coolidge,(Your Love Has Lifted Me) Higher And Higher
1977,9,Alan O'Day,Undercover Angel
1977,10,Mary MacGregor,Torn Between Two Lovers
1977,11,K.C. and The Sunshine Band,I'm Your Boogie Man
1977,12,ABBA,Dancing Queen
1977,13,Leo Sayer,You Make Me Feel Like Dancing
1977,14,Jimmy Buffett,Margaritaville
1977,15,Electric Light Orchestra,Telephone Line
1977,16,Pablo Cruise,Whatcha Gonna Do?
1977,17,Peter McCann,Do You Wanna Make Love?
1977,18,Stevie Wonder,Sir Duke
1977,19,Eagles,Hotel California
1977,20,Marvin Gaye,"Got To Give It Up, Pt. 1"
1977,21,Bill Conti,"Theme From ""Rocky"" (Gonna Fly Now)"
1977,22,Glen Campbell,Southern Nights
1977,23,Daryl Hall and John Oates,Rich Girl
1977,24,Leo Sayer,When I Need You
1977,25,Sylvers,Hot Line
1977,26,Rose Royce,Car Wash
1977,27,Marilyn McCoo and Billy Davis Jr.,You Don't Have To Be A Star
1977,28,Steve Miller Band,Fly Like An Eagle
1977,29,David Soul,Don't Give Up On Us
1977,30,Stephen Bishop,On And On
1977,31,Foreigner,Feels Like The First Time
1977,32,Climax Blues Band,Couldn't Get It Right
1977,33,Commodores,Easy
1977,34,Jennifer Warnes,Right Time Of The Night
1977,35,Natalie Cole,I've Got Love On My Mind
1977,36,Manfred Mann's. Earth Band,Blinded By The Light
1977,37,Barry Manilow,Looks Like We Made It
1977,38,Atlanta Rhythm Section,So In To You
1977,39,Fleetwood Mac,Dreams
1977,40,Jacksons,Enjoy Yourself
1977,41,Brick,Dazz
1977,42,Peter Frampton,I'm In You
1977,43,Kenny Rogers,Lucille
1977,44,10cc,The Things We Do For Love
1977,45,Shaun Cassidy,Da Doo Ron Ron
1977,46,James Taylor,Handy Man
1977,47,"Crosby, Stills and Nash",Just A Song Before I Go
1977,48,Alice Cooper,You And Me
1977,49,Johnny Rivers,Swayin' To The Music (Slow Dancin')
1977,50,Andrew Gold,Lonely Boy
1977,51,Stevie Wonder,I Wish
1977,52,Fleetwood Mac,Don't Stop
1977,53,Heart,Barracuda
1977,54,Brothers Johnson,Strawberry Letter 23
1977,55,Bob Seger and The Silver Bullet Band,Night Moves
1977,56,Helen Reddy,You're My World
1977,57,Marshall Tucker Band,Heard It In A Love Song
1977,58,Kansas,Carry On Wayward Son
1977,59,Eagles,New Kid In Town
1977,60,Barbra Streisand,My Heart Belongs To Me
1977,61,Engelbert Humperdinck,After The Lovin'
1977,62,Steve Miller Band,Jet Airliner
1977,63,Burton Cummings,Stand Tall
1977,64,Elvis Presley,Way Down
1977,65,Barry Manilow,Weekend In New England
1977,66,Ronnie Milsap,It Was Almost Like A Song
1977,67,Sanford Townsend Band,Smoke From A Distant Fire
1977,68,Foreigner,Cold As Ice
1977,69,Dean Friedman,Ariel
1977,70,Bread,Lost Without Your Love
1977,71,Meco,Star Wars Theme-Cantina Band
1977,72,Floaters,Float On
1977,73,David Dundas,Jeans On
1977,74,Boz Scaggs,Lido Shuffle
1977,75,K.C. and The Sunshine Band,Keep It Comin' Love
1977,76,Bay City Rollers,You Made Me Believe In Magic
1977,77,Electric Light Orchestra,Livin' Thing
1977,78,Supertramp,Give A Little Bit
1977,79,Shaun Cassidy,That's Rock 'N' Roll
1977,80,Bee Gees,Love So Right
1977,81,Spinners,The Rubberband Man
1977,82,Alice Cooper,I Never Cry
1977,83,Carly Simon,Nobody Does It Better
1977,84,Sylvers,High School Dance
1977,85,Kenny Nolan,Love's Grown Deep
1977,86,Joe Tex,Ain't Gonna Bump No More (With No Big Fat Woman)
1977,87,Rose Royce,I Wanna Get Next To You
1977,88,Queen,Somebody To Love
1977,89,Captain and Tennille,Muskrat Love
1977,90,Aerosmith,Walk This Way
1977,91,Dr. Buzzard's Original Savannah Band,Whispering-Cherchez La Femme-C'est Si Bon
1977,92,Al Stewart,Year Of The Cat
1977,93,Heatwave,Boogie Nights
1977,94,Fleetwood Mac,Go Your Own Way
1977,95,Elton John,Sorry Seems To Be The Hardest Word
1977,96,B.J. Thomas,Don't Worry Baby
1977,97,ABBA,"Knowing Me, Knowing You"
1977,98,Leo Sayer,How Much Love
1977,99,London Symphony Orchestra,Star Wars (Main Title)
1977,100,C.J. and Co.,Devil's Gun
