Year,Position,Artist,Song Title
1982,1,Olivia Newton-John,Physical
1982,2,Survivor,Eye Of The Tiger
1982,3,Joan Jett and The Blackhearts,I Love Rock N' Roll
1982,4,Paul McCartney and Stevie Wonder,Ebony And Ivory
1982,5,J. Geils Band,Centerfold
1982,6,Human League,Don't You Want Me
1982,7,John Cougar,Jack And Diane
1982,8,John Cougar,Hurts So Good
1982,9,Steve Miller Band,Abracadabra
1982,10,Chicago,Hard To Say I'm Sorry
1982,11,Soft Cell,Tainted Love
1982,12,Vangelis,Chariots Of Fire
1982,13,Quarterflash,Harden My Heart
1982,14,Toto,Rosanna
1982,15,Daryl Hall and John Oates,I Can't Go For That
1982,16,Tommy Tutone,867-5309 (Jenny)
1982,17,Bertie Higgins,Key Largo
1982,18,Melissa Manchester,You Should Hear How She Talks About You
1982,19,Foreigner,Waiting For A Girl Like You
1982,20,Rick Springfield,Don't Talk To Strangers
1982,21,Juice Newton,The Sweetest Thing
1982,22,Willie Nelson,Always On My Mind
1982,23,Cars,Shake It Up
1982,24,Dazz Band,Let It Whip
1982,25,Go-Go's,We Got The Beat
1982,26,Ray Parker Jr.,The Other Woman
1982,27,George Benson,Turn Your Love Around
1982,28,Air Supply,Sweet Dreams
1982,29,Motels,Only The Lonely
1982,30,Men At Work,Who Can It Be Now?
1982,31,Fleetwood Mac,Hold Me
1982,32,Alan Parsons Project,Eye In The Sky
1982,33,"Earth, Wind and Fire",Let's Groove
1982,34,Journey,Open Arms
1982,35,Dan Fogelberg,Leader Of The Band
1982,36,Stevie Nicks and Don Henley,Leather And Lace
1982,37,Air Supply,Even The Nights Are Better
1982,38,Charlene,I've Never Been To Me
1982,39,Paul Davis,'65 Love Affair
1982,40,Asia,Heat Of The Moment
1982,41,Little River Band,Take It Easy On Me
1982,42,Buckner and Garcia,Pac-Man Fever
1982,43,Stevie Wonder,That Girl
1982,44,Daryl Hall and John Oates,Private Eyes
1982,45,Lindsey Buckingham,Trouble
1982,46,Roberta Flack,Making Love
1982,47,Juice Newton,Love's Been A Little Bit Hard On Me
1982,48,Rod Stewart,Young Turks
1982,49,J. Geils Band,Freeze-Frame
1982,50,REO Speedwagon,Keep The Fire Burnin'
1982,51,Huey Lewis and The News,Do You Believe In Love
1982,52,Paul Davis,Cool Night
1982,53,38 Special,Caught Up In You
1982,54,Diana Ross,Why Do Fools Fall In Love?
1982,55,Alabama,Love In The First Degree
1982,56,Royal Philharmonic Orchestra,Hooked On Classics
1982,57,"Crosby, Stills and Nash",Wasted On The Way
1982,58,Eddie Money,Think I'm In Love
1982,59,Donna Summer,Love Is In Control
1982,60,Karla Bonoff,Personally
1982,61,Quincy Jones,Owe Hundred Ways
1982,62,Elton John,Blue Eyes
1982,63,Go-Go's,Our Lips Are Sealed
1982,64,Sheena Easton,You Could Have Been Wih Me
1982,65,America,You Can Do Magic
1982,66,Daryl Hall and John Oates,Did It In A Minute
1982,67,A Flock Of Seagulls,I Ran
1982,68,Jackson Browne,Somebody's Baby
1982,69,Commodores,Oh No
1982,70,Paul McCartney,Take It Away
1982,71,Deneice Williams,It's Gonna Take A Miracle
1982,72,Kenny Rogers,Love Will Turn You Around
1982,73,Journey,Don't Stop Believin'
1982,74,Barbra Streisand,Comin' In And Out Of Your Life
1982,75,Laura Branigan,Gloria
1982,76,Elton John,Empty Garden
1982,77,Neil Diamond,Yesterday's Songs
1982,78,Joan Jett and The Blackhearts,Crimson And Clover
1982,79,Police,Every Little Thing She Does Is Magic
1982,80,Air Supply,Here I Am
1982,81,Michael McDonald,I Keep Forgettin'
1982,82,Kool and The Gang,Get Down On It
1982,83,Ronnie Milsap,Any Day Now
1982,84,Olivia Newton-John,Make A Move On Me
1982,85,Kool and The Gang,Take My Heart
1982,86,Diana Ross,Mirror Mirror
1982,87,Go-Go's,Vacation
1982,88,Van Halen,(Oh) Pretty Woman
1982,89,Pointer Sisters,Should I Do It
1982,90,Billy Idol,Hot In The City
1982,91,Kim Wilde,Kids In America
1982,92,Little River Band,Man On Your Mind
1982,93,Michael Murphy,What's Forever For
1982,94,Rolling Stones,Waiting On A Friend
1982,95,Stevie Wonder,Do I Do
1982,96,Loverboy,Working For The Weekend
1982,97,Greg Guidry,Goin' Down
1982,98,Christopher Cross,Arthur's Theme
1982,99,Kenny Rogers,Through The Years
1982,100,Stevie Nicks,Edge Of Seventeen
