Year,Position,Artist,Song Title
1975,1,Captain and Tennille,Love Will Keep Us Together
1975,2,Glen Campbell,Rhinestone Cowboy
1975,3,Elton John,Philadelphia Freedom
1975,4,Freddy Fender,Before The Next Teardrop Falls
1975,5,Frankie Valli,My Eyes Adored You
1975,6,"Earth, Wind and Fire",Shining Star
1975,7,David Bowie,Fame
1975,8,Neil Sedaka,Laughter In The Rain
1975,9,Eagles,One Of These Nights
1975,10,John Denver,Thank God I'm A Country Boy
1975,11,Bee Gees,Jive Talkin'
1975,12,Eagles,Best Of My Love
1975,13,Minnie Riperton,Lovin' You
1975,14,Carl Douglas,Kung Fu Fighting
1975,15,Doobie Brothers,Black Water
1975,16,Sweet,Ballroom Blitz
1975,17,B.J. Thomas,(Hey Wont You Play) Another Somebody Done Somebody Wrong Song
1975,18,Tony Orlando and Dawn,He Don't Love You (Like I Love You)
1975,19,Janis Ian,At Seventeen
1975,20,Average White Band,Pick Up The Pieces
1975,21,Van McCoy and The Soul City Symphony,The Hustle
1975,22,Labelle,Lady Marmalade
1975,23,War,Why Can't We Be Friends?
1975,24,Major Harris,Love Won't Let Me Wait
1975,25,Stevie Wonder,Boogie On Reggae Woman
1975,26,Freddy Fender,Wasted Days And Wasted Nights
1975,27,Isley Brothers,"Fight The Power, Pt. 1"
1975,28,Helen Reddy,Angie Baby
1975,29,Ozark Mountain Daredevil,Jackie Blue
1975,30,Ohio Players,Fire
1975,31,Pilot,Magic
1975,32,Carpenters,Please Mr. Postman
1975,33,America,Sister Golden Hair
1975,34,Elton John,Lucy In The Sky With Diamonds
1975,35,Barry Manilow,Mandy
1975,36,Olivia Newton-John,Have You Never Been Mellow
1975,37,Barry Manilow,Could It Be Magic
1975,38,Harry Chapin,Cat's In The Cradle
1975,39,Michael Murphy,Wildfire
1975,40,Jessi Colter,I'm Not Lisa
1975,41,Wings,Listen To What The Man Said
1975,42,10cc,I'm Not In Love
1975,43,Billy Swan,I Can Help
1975,44,"Hamilton, Joe Frank and Reynolds",Fallin' In Love
1975,45,Morris Albert,Feelings
1975,46,Sammy Johns,Chevy Van
1975,47,Linda Ronstadt,When Will I Be Loved
1975,48,Barry White,"You're The First, The Last, My Everything"
1975,49,Olivia Newton-John,Please Mr Please
1975,50,Linda Ronstadt,You're No Good
1975,51,Bazuka,Dynomite
1975,52,Blackbyrds,Walking In Rhythm
1975,53,Gladys Knight and The Pips,The Way We Were / Try To Remember
1975,54,Melissa Manchester,Midnight Blue
1975,55,Sugarloaf,"Don't Call Us, We'll Call You"
1975,56,Phoebe Snow,Poetry Man
1975,57,Ace,How Long
1975,58,B.T. Express,Express
1975,59,"Earth, Wind and Fire",That's The Way Of The World
1975,60,Styx,Lady
1975,61,Grand Funk,Bad Time
1975,62,Alice Cooper,Only Women Bleed
1975,63,Carol Douglas,Doctor's Orders
1975,64,K.C. and The Sunshine Band,Get Down Tonight
1975,65,Joe Cocker,You Are So Beautiful / It's A Sin When You Love Somebody
1975,66,Paul Anka and Odia Coates,One Man Woman-One Woman Man
1975,67,Bad Company,Feel Like Makin' Love
1975,68,James Taylor,How Sweet It Is (To Be Loved by You)
1975,69,Orleans,Dance With Me
1975,70,Average White Band,Cut The Cake
1975,71,Gloria Gaynor,Never Can Say Goodbye
1975,72,Paul Anka,I Don't Like To Sleep Alone
1975,73,Donny and Marie Osmond,Morning Side Of The Mountain
1975,74,Grand Funk,Some Kind Of Wonderful
1975,75,Three Degrees,When Will I See You Again
1975,76,Joe Simon,"Get Down, Get Down (Get On The Floor)"
1975,77,John Denver,I'm Sorry / Calypso
1975,78,Queen,Killer Queen
1975,79,Eddie Kendricks,Shoeshine Boy
1975,80,B.T. Express,Do It (Til You're Satisfied)
1975,81,Electric Light Orchestra,Can't Get It Out Of My Head
1975,82,Al Green,Sha-La-La (Make Me Happy)
1975,83,America,Lonely People
1975,84,Rufus,You Got The Love
1975,85,Mike Post,The Rockford Files
1975,86,Tavares,It Only Takes A Minute
1975,87,Ringo Starr,No No Song / Snookeroo
1975,88,Paul McCartney and Wings,Junior's Farm / Sally G
1975,89,Jethro Tull,Bungle In The Jungle
1975,90,Leo Sayer,Long Tall Glasses (I Can Dance)
1975,91,Elton John,Someone Saved My Life Tonight
1975,92,Ray Stevens,Misty
1975,93,Neil Sedaka,Bad Blood
1975,94,Carpenters,Only Yesterday
1975,95,Dwight Twilley Band,I'm On Fire
1975,96,Ringo Starr,Only You
1975,97,Amazing Rhythm Aces,Third Rate Romance
1975,98,Bachman-Turner Overdrive,You Aint Seen Nothin' Yet / Free Wheelin'
1975,99,Frankie Valli,Swearin' To God
1975,100,Disco Tex and The Sex-O-lettes,Get Dancin'
