Year,Position,Artist,Song Title
1969,1,Archies,"Sugar, Sugar"
1969,2,Fifth Dimension,Aquarius / Let The Sunshine In
1969,3,Temptations,I Can't Get Next To You
1969,4,Rolling Stones,Honky Tonk Women
1969,5,Sly and The Family Stone,Everyday People
1969,6,Tommy Roe,Dizzy
1969,7,Sly and The Family Stone,Hot Fun In The Summertime
1969,8,Tom Jones,I'll Never Fall In Love Again
1969,9,Foundations,Build Me Up Buttercup
1969,10,Tommy James and The Shondells,Crimson And Clover
1969,11,Three Dog Night,One
1969,12,Tommy James and The Shondells,Crystal Blue Persuasion
1969,13,Cowsills,Hair
1969,14,Marvin Gaye,Too Busy Thinking About My Baby
1969,15,Henry Mancini and His Orch.,Love Theme From Romeo And Juliet
1969,16,Youngbloods,Get Together
1969,17,Friends Of Distinction,Grazin' In The Grass
1969,18,Elvis Presley,Suspicious Minds
1969,19,Creedence Clearwater Revival,Proud Mary
1969,20,Jr. Walker and The All Stars,What Does It Take (To Win Your Love)
1969,21,Isley Brothers,It's Your Thing
1969,22,Neil Diamond,Sweet Caroline
1969,23,Oliver,Jean
1969,24,Creedence Clearwater Revival,Bad Moon Rising
1969,25,Beatles,Get Back
1969,26,Zager and Evans,In The Year 2525
1969,27,"Blood, Sweat and Tears",Spinning Wheel
1969,28,Andy Kim,"Baby, I Love You"
1969,29,Friends Of Distinction,Going In Circles
1969,30,Lettermen,Hurt So Bad
1969,31,Creedence Clearwater Revival,Green River
1969,32,Stevie Wonder,My Cherie Amour
1969,33,Three Dog Night,Easy To Be Hard
1969,34,Smith,Baby It's You
1969,35,Elvis Presley,In The Ghetto
1969,36,Johnny Cash,A Boy Named Sue
1969,37,Smokey Robinson and The Miracles,"Baby, Baby Don't Cry"
1969,38,Jerry Butler,Only The Strong Survive
1969,39,Zombies,Time Of The Season
1969,40,Fifth Dimension,Wedding Bell Blues
1969,41,Bobby Sherman,Little Woman
1969,42,Mercy,Love (Can Make You Happy)
1969,43,Oliver,Good Morning Starshine
1969,44,Guess Who,These Eyes
1969,45,"Blood, Sweat and Tears",You've Made Me So Very Happy
1969,46,Jackie DeShannon,Put A Little Love In Your Heart
1969,47,Watts 103rd Street Rhythm Band,Do Your Thing
1969,48,Grass Roots,I'd Wait A Million Years
1969,49,Doors,Touch Me
1969,50,Spiral Starecase,More Today Than Yesterday
1969,51,Sammy Davis Jr.,I've Gotta Be Me
1969,52,Bob Dylan,Lay Lady Lay
1969,53,Donovan,Atlantis
1969,54,Dennis Yost and The Classics IV,Traces
1969,55,Mama Cass Elliot,It's Getting Better
1969,56,Jay and The Americans,This Magic Moment
1969,57,Temptations,"Run Away Child, Running Wild"
1969,58,Ventures,Hawaii Five-O
1969,59,Glen Campbell,Galveston
1969,60,Lou Christie,I'm Gonna Make You Mine
1969,61,Ray Stevens,Gitarzan
1969,62,Tyrone Davis,Can I Change My Mind
1969,63,Booker T and The MG's,Time Is Tight
1969,64,Dionne Warwick,This Girl's In Love With You
1969,65,Winstons,Color Him Father
1969,66,"Sonny Charles and The Checkmates, Ltd.",Black Pearl
1969,67,1910 Fruitgum Company,Indian Giver
1969,68,James Brown,Mother Popcorn (Part I)
1969,69,Edwin Starr,Twenty-five Miles
1969,70,New Colony Six,Things I'd Like To Say
1969,71,Motherlode,When I Die
1969,72,Marvin Gaye,That's The Way Love Is
1969,73,Nilsson,Everybody's Talkin'
1969,74,Brooklyn Bridge,Worst That Could Happen
1969,75,Joe Simon,Chokin' Kind
1969,76,Flying Machine,Smile A Little Smile For Me
1969,77,Tony Joe White,Polk Salad Annie
1969,78,Kenny Rogers and The First Edition,"Ruby, Don't Take Your Love To Town"
1969,79,Joe South,Games People Play
1969,80,Turtles,You Showed Me
1969,81,Cuff Links,Tracy
1969,82,Dells,"Oh, What A Night"
1969,83,Beatles,Something
1969,84,Gary Puckett and The Union Gap,This Girl Is A Woman Now
1969,85,Beatles,Come Together
1969,86,Bob Seger System,Ramblin' Gamblin' Man
1969,87,Diana Ross and The Supremes and The Temptations,I'm Gonna Make You Love Me
1969,88,Marvin Gaye,I Heard It Through The Grapevine
1969,89,Crazy Elephant,Gimme Gimme Good Lovin'
1969,90,Booker T and The MG's,Hang 'Em High
1969,91,Lou Rawls,Your Good Thing (Is About To End)
1969,92,Originals,Baby I'm For Real
1969,93,Edwin Hawkins Singers,Oh Happy Day
1969,94,Tom Jones,Love Me Tonight
1969,95,Paul Revere and The Raiders,"Mr. Sun, Mr. Moon"
1969,96,Guess Who,Laughing
1969,97,David Ruffin,My Whole World Ended (The Moment You Left Me)
1969,98,Box Tops,Soul Deep
1969,99,B.J. Thomas,Hooked On A Feeling
1969,100,Box Tops,Sweet Cream Ladies
