Year,Position,Artist,Song Title
1998,1,Next,Too Close
1998,2,Brandy and Monica,The Boy Is Mine
1998,3,Shania Twain,You're Still The One
1998,4,Savage Garden,Truly Madly Deeply
1998,5,LeAnn Rimes,How Do I Live
1998,6,Janet,Together Again
1998,7,K-Ci and JoJo,All My Life
1998,8,Elton John,Candle In The Wind 1997 / Something About The Way You Look Tonight
1998,9,Usher,Nice and Slow
1998,10,Paula Cole,I Don't Want To Wait
1998,11,Third Eye Blind,How's It Going To Be
1998,12,Destiny's Child,"No, No, No"
1998,13,Celine Dion,My Heart Will Go On
1998,14,Will Smith,Gettin' Jiggy Wit It
1998,15,Usher,You Make Me Wanna...
1998,16,Usher,My Way
1998,17,Mariah Carey,My All
1998,18,Monica,The First Night
1998,19,Puff Daddy and The Family,Been Around The World
1998,20,Sarah McLachlan,Adia
1998,21,Jennifer Paige,Crush
1998,22,Backstreet Boys,Everybody (Backstreet's Back)
1998,23,Aerosmith,I Don't Want To Miss A Thing
1998,24,Public Announcement,Body Bumpin (Yippie-Yi-Yo)
1998,25,Faith Hill,This Kiss
1998,26,Uncle Sam,I Don't Ever Want To See You Again
1998,27,Montell Jordan,Let's Ride
1998,28,Marcy Playground,Sex And Candy
1998,29,Robyn,Show Me Love
1998,30,Boyz II Men,A Song For Mama
1998,31,Mase,What You Want
1998,32,Madonna,Frozen
1998,33,Wyclef Jean,Gone Till November
1998,34,Lsg,My Body
1998,35,Chumbawamba,Tubthumping
1998,36,Lord Tariq and Peter Gunz,Deja Vu (Uptown Baby)
1998,37,'N Sync,I Want You Back
1998,38,Five,When The Lights Go Out
1998,39,Jon B.,They Don't Know
1998,40,Master P,Make Em' Say Uhh!
1998,41,"Nicole feat. Missy ""Misdemeanor"" Elliott and Mocha",Make It Hot
1998,42,All Saints,Never Ever
1998,43,Janet,I Get Lonely
1998,44,Mase,Feel So Good
1998,45,Voices Of Theory,Say It
1998,46,Billie Myers,Kiss The Rain
1998,47,Puff Daddy,Come With Me
1998,48,Sylk-E Fyne,Romeo And Juliet
1998,49,Mya and Sisqo,It's All About Me
1998,50,Hanson,I Will Come To You
1998,51,Barenaked Ladies,One Week
1998,52,K.P. and Envyi,Swing My Way
1998,53,Xscape,The Arms Of The One Who Loves You
1998,54,Somethin' For The People,My Love Is The Shhh!
1998,55,Tatyana Ali,Daydreamin'
1998,56,Dru Hill,We're Not Making Love No More
1998,57,Third Eye Blind,Semi-Charmed Life
1998,58,Lisa Loeb,I Do
1998,59,Mase,Lookin' At Me
1998,60,LeAnn Rimes,Looking Through Your Eyes
1998,61,Divine,Lately
1998,62,Backstreet Boys,Quit Playing Games (With My Heart)
1998,63,Next,I Still Love You
1998,64,Inoj,Time After Time
1998,65,Jimmy Ray,Are You Jimmy Ray?
1998,66,Ace Of Base,Cruel Summer
1998,67,Master P,I Got The Hook Up!
1998,68,Puff Daddy and The Family,Victory
1998,69,Spice Girls,Too Much
1998,70,Pras Feat. Ol' Dirty Bastard and Mya,Ghetto Supastar (That Is What You Are)
1998,71,Dru Hill feat. Redman,How Deep Is Your Love
1998,72,Kelly Price,Friend Of Mine
1998,73,Busta Rhymes,Turn It Up [Remix] / Fire It Up
1998,74,Edwin McCain,I'll Be
1998,75,Madonna,Ray Of Light
1998,76,Sister Hazel,All For You
1998,77,Monifah,Touch It
1998,78,Lox,"Money, Power and Respect"
1998,79,Verve,Bitter Sweet Symphony
1998,80,Busta Rhymes,Dangerous
1998,81,Spice Girls,Spice Up Your Life
1998,82,98 Degrees,Because Of You
1998,83,Loreena McKennitt,The Mummers' Dance
1998,84,Allure feat. 112,All Cried Out
1998,85,Big Punisher feat. Joe,Still Not A Player
1998,86,Aaliyah,The One I Gave My Heart To
1998,87,Jewel,Foolish Games / You Were Meant For Me
1998,88,Inoj,Love You Down
1998,89,2Pac,Do For Love
1998,90,Luke,Raise The Roof
1998,91,Nu Flavor,Heaven
1998,92,Jd,The Party Continues
1998,93,"Missy ""Misdemeanor"" Elliott feat. Da Brat",Sock It 2 Me
1998,94,Next,Butta Love
1998,95,Aretha Franklin,A Rose Is Still A Rose
1998,96,Boyz II Men,4 Seasons Of Loneliness
1998,97,LL Cool J,Father
1998,98,Gerald Levert,Thinkin' Bout It
1998,99,Deborah Cox,Nobody's Supposed To Be Here
1998,100,TQ,Westside
