title,spotify_id,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
John Cougar, John Deere, John 3:16,1MLiJQozVUdCCNudp1cDbn,Keith Urban,70,0.777,0,-6.971,1,0.0997,0.0621,1.83e-06,0.0792,0.598,170.021,221599,4
Mr. Misunderstood,79dlQxvdsCDApoM8XChkpy,Eric Church,74,0.802,7,-6.602,1,0.0429,0.0494,0,0.326,0.568,129.405,319240,4
Might Be,7KLB6Jptw9wyQXkSLiO8qh,Luke Nasty,73,0.782,9,-6.766,0,0.458,0.378,0,0.114,0.699,74.037,210704,4
Love Yourself,50kpGaPAhYJ3sGmk6vplg0,Justin Bieber,87,0.376,4,-9.954,1,0.453,0.856,0,0.285,0.559,102.541,233720,4
No Pressure,?,Justin Bieber Featuring Big Sean,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Rockin' Around The Christmas Tree,09OojFvtrM9YRzRjnXqJjA,Brenda Lee,34,0.641,8,-8.915,1,0.0386,0.568,0,0.224,0.831,141.002,126146,4
Love Drought,?,Beyonce,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Daddy,?,PSY Featuring CL,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Too Good,?,Drake Featuring Rihanna,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Fast Car,?,Jonas Blue Featuring Dakota,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Snapback,7I5fYc4qKJddht8Ozhqqdx,Old Dominion,78,0.793,5,-3.577,1,0.0333,0.305,3.23e-06,0.1,0.672,100.991,206507,4
I'm Sorry,1LWgoxKUgZIeodlLY7n3vA,Adam Wakefield,30,0.47,1,-4.655,1,0.0287,0.643,1.22e-06,0.111,0.292,139.904,208720,4
Strip It Down,3PqpjQPv4ciXBsPBT6rRtm,Luke Bryan,73,0.867,9,-3.563,1,0.0455,0.407,0,0.0829,0.732,137.958,241667,4
New Romantics,1ANrGOhBxCQQssOZQrrVlt,Taylor Swift,34,0.919,7,-5.984,1,0.243,0.0182,0,0.12,0.264,121.998,217021,4
Emperor's New Clothes,3px2rAPu74ltbkf9eZsZ8h,Panic! At The Disco,77,0.904,1,-4.947,1,0.0807,0.00302,0,0.0433,0.64,94.481,158667,4
Jam,?,Kevin Gates Featuring Trey Songz, Ty Dolla $ign &  Jamie Foxx,?,?,?,?,?,?,?,?,?,?,?,?,?,?
The Sound Of Silence,1Cj2vqUwlJVG27gJrun92y,Disturbed,83,0.28,6,-9.367,0,0.0281,0.468,1.1e-06,0.102,0.164,85.794,248467,4
Somewhere On A Beach,6zDaopn1sO8WUDTNdV8EdT,Dierks Bentley,78,0.642,7,-6.396,1,0.0277,0.000699,0,0.0801,0.468,144.019,199893,4
30 For 30 Freestyle,1DmnEYXa4WfbdhAPwNzgD8,Drake,67,0.612,4,-9.151,0,0.434,0.654,0,0.124,0.284,91.47,253935,4
I Hate U I Love U,?,gnash Featuring Olivia O'Brien,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Youth,1cOyWWUr3oXJIxY0AjJEx9,Troye Sivan,86,0.743,7,-4.398,1,0.0422,0.0667,0,0.0822,0.585,91.51,185194,4
Hotline Bling,1OAYKfE0YdrN7C1yLWaLJo,Drake,80,0.62,2,-8.124,1,0.0595,0.00343,0.000249,0.0504,0.526,134.969,267067,4
Ride,2Z8WuEywRWYTKe1NybPQEW,twenty one pilots,91,0.713,6,-5.355,1,0.0393,0.00835,0,0.113,0.58,74.989,214507,4
Lean & Dabb,4vS8VaBwJJV5Ry7UFIQuoo,iLoveMemphis,83,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.271,98.007,176561,4
Middle,?,DJ Snake Featuring Bipolar Sunshine,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Pray You Catch Me,?,Beyonce,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Locked Away,?,R. City Featuring Adam Levine,?,?,?,?,?,?,?,?,?,?,?,?,?,?
A.M.,3NLnwwAQbbFKcEcV8hDItk,One Direction,80,0.823,2,-5.231,1,0.0762,0.0598,0,0.119,0.4,99.933,230333,4
Powerful,?,Major Lazer Featuring Ellie Goulding & Tarrus Riley,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Pillowtalk,0IKK48xF4eEdfofyaeKWWO,Zayn,92,0.702,11,-4.271,1,0.0496,0.104,0,0.089,0.41,124.909,203686,4
History,0HMjXBAZmSYOTTi33WpMso,One Direction,83,0.699,11,-4.421,1,0.0493,0.0352,0,0.064,0.801,86.704,187427,4
Again,53Y0kdCa1CZ9gRqEuknfwy,Fetty Wap,91,0.869,0,-3.697,1,0.0789,0.0525,0.00719,0.103,0.603,108.061,193333,4
Used To Love You,7dhB1xznh2bbCWrFjCSH5x,Gwen Stefani,64,0.658,8,-5.398,1,0.085,0.0201,1.27e-06,0.408,0.203,94.678,227680,4
All I Ask,7atMzvqi0RZk6zVJGxLhWa,Adele,0,0.158,4,-18.262,1,0.0421,0.933,0.839,0.319,0.285,121.889,229403,4
Rich $ex,2onCHFrhTinyUc6OawwU4Z,Future,67,0.482,6,-11.202,0,0.168,0.148,6.88e-06,0.135,0.0924,111.896,240160,4
Head Over Boots,1R9FxlRkvKtt36dtTHs93X,Jon Pardi,76,0.669,7,-4.608,1,0.0237,0.0919,0,0.103,0.645,108.078,205120,4
Little Red Corvette,4reRa9oggVNyZjkceS7LaH,Prince,31,0.0764,1,-19.628,1,0.13,0.965,0.911,0.089,0.967,122.952,133013,4
Down In The DM,1LxKKYsJNPeBdOwdudsJzv,Yo Gotti,81,0.662,1,-7.016,0,0.0489,0.00157,2.1e-05,0.0887,0.329,152.927,182733,4
You Should Be Here,38gZVjeaeR3gcnCzziAxBm,Cole Swindell,69,0.746,11,-4.228,1,0.0329,0.0972,0,0.102,0.314,139.788,226307,4
Great Is Thy Faithfulness,0wIXZ4dPhQn1GYQBSC1Pkh,Jordan Smith,37,0.379,7,-6.29,1,0.0292,0.919,9.15e-05,0.191,0.328,83.828,214147,3
FML,6PmBnKrQuT4guboE9mNQIe,Kanye West,77,0.428,9,-7.12,0,0.0798,0.316,0,0.212,0.148,125.079,236120,4
Break On Me.,3W5GXbS3ugsYjx1X0xBNbL,Keith Urban,72,0.764,8,-6.757,1,0.0314,0.38,0.000154,0.112,0.447,86.996,209253,4
THat Part,?,ScHoolboy Q Featuring Kanye West,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Girls Just Want To Have Fun,62gFelpaDV9TPR4AybUfjK,Madi Davis,33,0.223,2,-6.772,0,0.0361,0.924,0,0.223,0.398,130.352,170573,3
Ophelia,3qhobDAfBcVoOWZP8Ck8R2,The Lumineers,77,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.573,76.023,160097,4
Gonna Know We Were Here,0OAsUPA8qPzP0Qmo5iMr54,Jason Aldean,69,0.903,9,-5.512,1,0.181,0.0374,0,0.891,0.552,173.924,224026,4
Space Oddity,72Z17vmmeQKAg8bptWvpVG,David Bowie,64,0.443,0,-12.621,1,0.0346,0.0748,0.000138,0.177,0.429,139.539,318813,4
Cut It,?,O.T. Genasis Featuring Young Dolph,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Fire & Desire,4bEGp4AapA0B3Q5PpnSq3K,Drake,77,0.255,1,-14.394,0,0.0851,0.0797,0,0.0869,0.252,80.001,238120,4
Into You,2meEiZKWkiN28gITzFwQo5,Ariana Grande,80,0.728,9,-5.871,1,0.0999,0.0153,1.46e-06,0.154,0.384,107.986,244453,4
Water Under The Bridge,11dIDYdr0ybfrDx8d01U8y,Adele,12,0.328,0,-19.538,0,0.0375,0.89,0.909,0.118,0.59,97.026,207935,4
Climb Every Mountain,6GtMaEfcLyzwfglzSlqzyX,Jordan Smith,35,0.493,6,-5.356,1,0.0287,0.415,5.15e-05,0.147,0.34,100.921,190440,4
Walking On A Dream,0mBkoM8r7KAQzZij5swTUL,Empire Of The Sun,72,0.699,5,-5.541,0,0.0459,0.245,6.76e-06,0.0588,0.725,126.967,198440,4
Light It Up,?,Major Lazer Featuring Nyla & Fuse ODG,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Sugar,2iuZJX9X9P0GKaE93xcPjk,Maroon 5,79,0.768,1,-7.089,1,0.0346,0.052,0,0.0848,0.885,120.084,235493,4
With You,?,Drake Featuring PARTYNEXTDOOR,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Grammys,?,Drake Featuring Future,?,?,?,?,?,?,?,?,?,?,?,?,?,?
