song,artist,listeners,play count,,
Lose My Mind,Brett Eldredge,12191,57036,,
Worth It,Fifth Harmony Featuring Kid Ink,156894,954923,,
Tennessee Whiskey,Chris Stapleton,23141,87403,,
Something In The Way You Move,Ellie Goulding,80220,492755,,
Wherever I Go,OneRepublic,23457,83222,,
Go Ahead And Break My Heart,Blake Shelton Featuring Gwen Stefani,42,197,,
God Only Knows,Jordan Smith & Adam Levine,?,?,,
Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,798,6567,,
Redemption,Drake,29474,95396,,
Hasta El Amanecer,Nicky Jam,15639,62560,,
I'm Comin' Over,Chris Young,10944,55993,,
Firestone,Kygo Featuring Conrad,233206,1623847,,
Children,Justin Bieber,47309,222308,,
Feel No Ways,Drake,35849,147745,,
Honey, I'm Good.,66343,303996,303996,
Stay A Little Longer,Brothers Osborne,10667,60787,,
Classic Man,Jidenna Featuring Roman GianArthur,43488,155239,,
Formation,Beyonce,?,?,,
Get Ugly,Jason Derulo,0,0,,
Keep The Family Close,Drake,35523,109424,,
Death Of A Bachelor,Panic! At The Disco,29675,216292,,
Huntin', Fishin' & Lovin' Every Day,?,?,?,
Close,Nick Jonas Featuring Tove Lo,52032,216772,,
Law,Yo Gotti Featuring E-40,4755,11866,,
If I Could Fly,One Direction,20932,163789,,
Roses,The Chainsmokers Featuring ROZES,131780,751581,,
Drag Me Down,One Direction,138360,1201360,,
Buy Me A Boat,Chris Janson,10773,52337,,
Something New,Zendaya Featuring Chris Brown,12167,32982,,
Jimmy Choo,Fetty Wap,9999,28126,,
Don't Mind,Kent Jones,13310,32500,,
Break Up With Him,Old Dominion,12282,58453,,
Fly S**t Only,Future,845,3587,,
Waves,Kanye West,66888,404190,,
Sorry,Justin Bieber,227951,2466382,,
How Deep Is Your Love,Calvin Harris & Disciples,0,0,,
Love On The Brain,Rihanna,54683,455600,,
Writing's On The Wall,Sam Smith,76860,433088,,
Untitled 02 l 06.23.2014.,Kendrick Lamar,9417,56018,,
RGF Island,Fetty Wap,25739,104543,,
Hide Away,Daya,79716,361796,,
One Call Away,Charlie Puth,77403,393176,,
Nothing But Trouble (Instagram Models),Lil Wayne & Charlie Puth,?,?,,
Home,One Direction,9455,126023,,
WTF (Where They From),Missy Elliott Featuring Pharrell Williams,815,5104,,
Stand By You,Rachel Platten,31752,167127,,
Live From The Gutter,Drake & Future,?,?,,
Famous,Kanye West,100413,603392,,
No Role Modelz,J. Cole,87064,534384,,
Burning House,Cam,35010,114100,,
Lights Come On,Jason Aldean,3264,10127,,
1999,Prince,272679,972327,,
Out Of The Woods,Taylor Swift,91882,1764244,,
Sorry,Beyonce,37866,391753,,
On My Mind,Ellie Goulding,168298,1305391,,
Shut Up And Dance,WALK THE MOON,289991,2248682,,
Til It Happens To You,Lady Gaga,28233,188384,,
Cheerleader,OMI,54745,322632,,
Never Enough,One Direction,18564,146122,,
Back To Back,Drake,64117,345753,,
Summer Sixteen,Drake,50378,225315,,
Purple Rain,Prince And The Revolution,205144,785752,,
Watch Out,2 Chainz,15941,53397,,
2 Phones,Kevin Gates,25241,100626,,
Little Bit Of You,Chase Bryant,5908,26773,,
With Them,Young Thug,13350,75842,,
