title,spotify_id,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Middle,?,DJ Snake Featuring Bipolar Sunshine,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Pray You Catch Me,?,Beyonce,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Locked Away,?,R. City Featuring Adam Levine,?,?,?,?,?,?,?,?,?,?,?,?,?,?
A.M.,3NLnwwAQbbFKcEcV8hDItk,One Direction,0.823
Powerful,?,Major Lazer Featuring Ellie Goulding & Tarrus Riley,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Pillowtalk,0IKK48xF4eEdfofyaeKWWO,Zayn,0.702
History,0HMjXBAZmSYOTTi33WpMso,One Direction,0.699
Again,53Y0kdCa1CZ9gRqEuknfwy,Fetty Wap,0.869
Used To Love You,7dhB1xznh2bbCWrFjCSH5x,Gwen Stefani,0.658
All I Ask,7atMzvqi0RZk6zVJGxLhWa,Adele,0.158
Rich $ex,2onCHFrhTinyUc6OawwU4Z,Future,0.482
Head Over Boots,1R9FxlRkvKtt36dtTHs93X,Jon Pardi,0.669
Little Red Corvette,4reRa9oggVNyZjkceS7LaH,Prince,0.0764
Down In The DM,1LxKKYsJNPeBdOwdudsJzv,Yo Gotti,0.662
You Should Be Here,38gZVjeaeR3gcnCzziAxBm,Cole Swindell,0.746
Great Is Thy Faithfulness,0wIXZ4dPhQn1GYQBSC1Pkh,Jordan Smith,0.379
FML,6PmBnKrQuT4guboE9mNQIe,Kanye West,0.428
Break On Me.,3W5GXbS3ugsYjx1X0xBNbL,Keith Urban,0.764
THat Part,?,ScHoolboy Q Featuring Kanye West,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Girls Just Want To Have Fun,62gFelpaDV9TPR4AybUfjK,Madi Davis,0.223
Ophelia,3qhobDAfBcVoOWZP8Ck8R2,The Lumineers,0.573
Gonna Know We Were Here,0OAsUPA8qPzP0Qmo5iMr54,Jason Aldean,0.903
Space Oddity,72Z17vmmeQKAg8bptWvpVG,David Bowie,0.443
Cut It,?,O.T. Genasis Featuring Young Dolph,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Fire & Desire,4bEGp4AapA0B3Q5PpnSq3K,Drake,0.255
Into You,2meEiZKWkiN28gITzFwQo5,Ariana Grande,0.728
Water Under The Bridge,11dIDYdr0ybfrDx8d01U8y,Adele,0.328
Climb Every Mountain,6GtMaEfcLyzwfglzSlqzyX,Jordan Smith,0.493
Walking On A Dream,0mBkoM8r7KAQzZij5swTUL,Empire Of The Sun,0.699
Light It Up,?,Major Lazer Featuring Nyla & Fuse ODG,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Sugar,2iuZJX9X9P0GKaE93xcPjk,Maroon 5,0.768
With You,?,Drake Featuring PARTYNEXTDOOR,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Grammys,?,Drake Featuring Future,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Good To Be Alive (Hallelujah),1fMEUGs5CvRv0VrcJlQITt,Andy Grammer,0.882
Humble And Kind,3Rkk851fZjIsglV2jbBPDd,Tim McGraw,0.486
The Fix,?,Nelly Featuring Jeremih,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Where Are U Now,66hayvUbTotekKU3H4ta1f,Skrillex & Diplo With Justin Bieber,0.781
Confession,6IFPfV8PNSYOmufzQ95hmm,Florida Georgia Line,0.873
R.I.C.O.,?,Meek Mill Featuring Drake,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Runnin' (Lose It All),?,Naughty Boy Featuring Beyonce & Arrow Benjamin,?,?,?,?,?,?,?,?,?,?,?,?,?,?
When We Were Young,7A2eDNBgJrEVE87C8pOMqN,Adele,0.594
Say It,610BVUQMZpmt3eROWX9ZC1,Tory Lanez,0.521
Sandcastles,1xXEZboBMUgaS1a6R0yvnh,Beyonce,0.068
Hands To Myself,1LoriJC05IrHIDwj3q0KC1,Selena Gomez,0.504
Moolah,746PsZ5jTdqIJ6LgJAHcEZ,Young Greatness,0.568
Hello Friday,?,Flo Rida Featuring Jason Derulo,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Cheap Thrills,?,Sia Featuring Sean Paul,?,?,?,?,?,?,?,?,?,?,?,?,?,?
I'd Just Love To Lay You Down,31mfhAKOC4q1qSUl8YqiIh,Barrett Baber,0.548
I Would Die 4 U,6HHEoDvXsJE9OfWP8zuACO,Prince And The Revolution,0.523
Used To Love You Sober,6V3wTb4VVDWRw3YEDgc6Py,Kane Brown,0.674
Gold,6ZSO7kPn8IMJFymyticbJO,Kiiara,0.412
I Love This Life,2CIw1JCKA6exk5Mod3QJhA,LoCash,0.921
Promise,?,Kid Ink Featuring Fetty Wap,?,?,?,?,?,?,?,?,?,?,?,?,?,?
All Night,5DgLNORET0teNMHtRvRSFr,Beyonce,0.716
Infinity,6N5xh0tYYLTQRiCCaNbAUt,One Direction,0.705
Ain't Your Mama,2hgzdQdnfWwtdpZbhZlV72,Jennifer Lopez,0.678
Came Here To Forget,1N7qGCKRRnvjoy8MGyHgpS,Blake Shelton,0.667
Let's Go Crazy,0VtHhIPb2AaJypAXoMFmH1,Prince And The Revolution,0.587
Untitled 07 l 2014 - 2016,?,Kendrick Lamar,?,?,?,?,?,?,?,?,?,?,?,?,?,?
30 for 30 Freestyle,1DmnEYXa4WfbdhAPwNzgD8,Drake,0.612
Drifting,?,G-Eazy Featuring Chris Brown & Tory Lanez,?,?,?,?,?,?,?,?,?,?,?,?,?,?
We Don't Talk Anymore,?,Charlie Puth Featuring Selena Gomez,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Kiss It Better,7bmqcI1HQwx1PWwYyZO0lg,Rihanna,0.812
No,3ge54HUrk1ht3EX5SMhIzZ,Meghan Trainor,0.802
Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,twenty one pilots,0.637
Purpose,50kpGaPAhYJ3sGmk6vplg0,Justin Bieber,0.376
Lose My Mind,0dwudL6pM7zLO7MSUxMUYd,Brett Eldredge,0.755
Worth It,?,Fifth Harmony Featuring Kid Ink,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Tennessee Whiskey,3fqwjXwUGN6vbzIwvyFMhx,Chris Stapleton,0.369
Something In The Way You Move,3ZCDG0nujwGfxrEmZlZoEt,Ellie Goulding,0.819
Wherever I Go,0KdwmtG44yIDpyie4b0jCn,OneRepublic,0.703
Go Ahead And Break My Heart,?,Blake Shelton Featuring Gwen Stefani,?,?,?,?,?,?,?,?,?,?,?,?,?,?
God Only Knows,26BvbgWisvyequ09r52TDA,Jordan Smith & Adam Levine,0.573
Post To Be,?,Omarion Featuring Chris Brown & Jhene Aiko,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Redemption,6qGgrhiZ20Qrir3MNGUJq4,Drake,0.315
Hasta El Amanecer,4wFHfY9IILHLNwakPuFogD,Nicky Jam,0.608
I'm Comin' Over,6W9W8dSswA8KNegvl3W97V,Chris Young,0.893
