song_title,spotify_id,artist,year,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,word_count,reading_ease,polarity,subjectivity,followers,listeners,play_count,is_winner,is_nominee,winner_score,weight
Witch Doctor,3RVnGPQfCm1r9Apk5Fvrpp,David Seville,1958,29,oldies,0.631,0.612,7,-5.648,1,0.0496,0.723,0,0.13,0.918,139.24,143373,4,262,107.69,0.407142857,0.568095238,572,12536,36373,0,0,0,{2.23907E-05}
Return To Me,38fxthNzXy46rtFlFZEmqj,Dean Martin,1958,33,oldies,0.287,0.22,2,-12.235,1,0.0356,0.965,0.00128,0.164,0.179,118.363,143787,3,76,90.77,0.01,0.34,209977,35181,105989,0,0,0,{2.23907E-05}
The Stroll,4hKtaVTrYqmflvc1jb21MC,Diamonds,1958,26,oldies,0.575,0.685,5,-8.2,1,0.031,0.845,4.93E-05,0.392,0.669,142.719,150360,3,82,84.34,0.566666667,0.6,769724,855,2180,0,0,0,{2.23907E-05}
Volare (Nel Blu Dipinto Di Blu),006Ndmw2hHxvnLbJsBFnPx,Domenico Modugno,1958,30,oldies,0.518,0.06,10,-14.887,1,0.0441,0.987,7.87E-06,0.161,0.359,127.87,216373,4,267,90.77,0.211538462,0.476923077,17983,31333,108617,1,1,1,{2.23907E-05}
Oh Lonesome Me,7pE3xCbi3P4OyHWzONRZwB,Don Gibson,1958,33,country,0.676,0.827,10,-6.919,1,0.0354,0.749,1.01E-06,0.0676,0.949,102.9,149867,4,206,87.72,0.167207792,0.500692641,4098,24555,66175,0,0,0,{2.23907E-05}
Rebel-Rouser,4nAJtcmiyoL0ARY5WZY9IN,Duane Eddy,1958,48,instrumental,0.388,0.434,7,-11.997,1,0.0354,0.789,0.954,0.728,0.871,206.313,153533,4,1,?,0,0,8477,2036,5720,0,0,0,{2.23907E-05}
The End,79Iwb8D1mlLHzyrTzuA3cw,Earl Grant,1958,23,oldies,0.454,0.264,0,-11.891,1,0.032,0.62,3.07E-05,0.176,0.323,89.669,140800,3,135,100.58,0.357142857,0.714285714,629,3304,9884,0,0,0,{2.23907E-05}
For Your Love,34hXWNZyKgsR7zmMOfXqOK,Ed Townsend,1958,17,oldies,0.243,0.334,0,-10.097,1,0.0298,0.838,3.16E-06,0.187,0.375,94.409,173267,3,102,101.26,0.5,0.583333333,3385,1626,4486,0,0,0,{2.23907E-05}
Summertime Blues,44XGMLszaOWD7k4LsJMcWa,Eddie Cochran,1958,55,oldies,0.756,0.756,4,-10.821,1,0.0433,0.489,0.000175,0.167,0.965,156.484,121067,4,180,85.69,-0.078690476,0.471428571,29864,239351,775919,0,0,0,{2.23907E-05}
Little Star,3c7KT5CN8uYRaK3xThhdYt,Elegants,1958,28,oldies,0.408,0.397,9,-12.536,1,0.03,0.873,0,0.28,0.717,72.615,162773,4,274,108.7,0.120434028,0.485555556,464,25728,82125,0,0,0,{2.23907E-05}
Dont Ask Me Why,0nKb6gYFt0jgs6c2nmqvSm,Elvis Presley,1958,25,oldies,0.427,0.181,10,-14.177,1,0.0462,0.97,0,0.133,0.303,79.967,126573,5,83,108.7,0.326033058,0.677272727,1088162,13420,32199,0,0,0,{2.23907E-05}
One Night,3nwxwYSwdFvyLngepyPxOZ,Elvis Presley,1958,39,oldies,0.693,0.532,4,-9.712,1,0.0368,0.774,0,0.317,0.783,120.83,152187,1,141,108.7,0.165646259,0.623979592,1088162,135640,437629,0,0,0,{2.23907E-05}
