song_title,spotify_id,artist,year,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,word_count,reading_ease,polarity,subjectivity,followers,listeners,play_count,is_winner,is_nominee,winner_score,weight
Way Down Yonder In New Orleans,7kBvtoy7dyc1CQ2WjfGwdr,Freddie Cannon,1960,12,oldies,0.278,0.822,8,-5.932,1,0.0609,0.531,0,0.203,0.822,142.677,151600,4,?,?,?,?,1115,529,1203,0,0,0,{3.34028E-05}
Finger Poppin Time,7AjrGIzGreG68wJjMzHc09,Hank Ballard and The Midnighters,1960,32,oldies,0.644,0.611,9,-8.825,1,0.028,0.25,0,0.484,0.905,79.784,155586,4,12,85.69,?,?,328,370,1023,0,0,0,{3.34028E-05}
Please Help Me Im Falling,5ByJxztBdFPjWkLz1YWnwp,Hank Locklin,1960,0,country,0.553,0.452,7,-7.403,1,0.026,0.716,0,0.348,0.559,107.901,142192,4,113,94.15,0.26,0.72,1878,?,?,0,0,0,{3.34028E-05}
Alley Oop,5zSaNRRrhmn60aZFGYa76b,Hollywood Argyles,1960,11,oldies,0.656,0.559,7,-4.237,1,0.0529,0.771,0,0.173,0.886,65.22,158000,4,342,99.23,0.069852941,0.490767974,114,4339,11317,0,0,0,{3.34028E-05}
Burning Bridges,51jyAgrsTNvOyZPW949qZR,Jack Scott,1960,19,oldies,0.465,0.276,2,-13.184,1,0.0242,0.809,0.000272,0.214,0.23,82.613,161733,4,47,90.77,-0.12,0.52,1460,7770,16265,0,0,0,{3.34028E-05}
What In The Worlds Come Over You,3XToK0X499i9odkrDCG4FL,Jack Scott,1960,24,oldies,0.506,0.176,4,-13.962,1,0.0303,0.802,3.93E-06,0.0978,0.485,76.273,173267,4,178,99.23,0.233035714,0.708928571,1460,13351,29907,0,0,0,{3.34028E-05}
Night,2iDcBoSJ9yGrk7sVYNqL1D,Jackie Wilson,1960,19,soul,0.181,0.481,3,-8.653,1,0.0317,0.959,0.00382,0.197,0.238,96.279,168867,4,105,81.29,0.322222222,0.454444444,28752,6265,15416,0,0,0,{3.34028E-05}
Doggin Around,0T7jzjQENOkhRNwkfGbTO7,Jackie Wilson,1960,30,soul,0.541,0.366,5,-9.19,1,0.0252,0.938,0.445,0.107,0.458,94.809,173027,3,?,?,?,?,28752,13229,33513,0,0,0,{3.34028E-05}
Hell Have To Stay,4OgCE8bmGO7eatG3OuBEju,Jeanne Black,1960,16,oldies,0.354,0.179,10,-9.088,1,0.0355,0.953,2.54E-06,0.114,0.41,166.375,164440,3,159,96.18,0.3,0.636904762,19,1451,81052,0,0,0,{3.34028E-05}
Hell Have To Go,7DH5dXVuQaqcKf9oTy9oUN,Jim Reeves,1960,47,country,0.554,0.186,1,-15.846,1,0.0379,0.909,0.00144,0.11,0.2,81.181,138640,3,150,95.17,0.071990741,0.499537037,34878,39548,112624,0,0,0,{3.34028E-05}
A Million To One,2HWaoy5exkRIulp61fOvQj,Jimmy Charles,1960,16,pop,0.285,0.199,10,-16.101,1,0.0328,0.72,0,0.254,0.428,102.838,152360,3,121,81.29,0.442857143,0.571428571,71,3042,8147,0,0,0,{3.34028E-05}
Go Jimmy Go,0bQZqZqMPOTIxwHKzBbmwq,Jimmy Clanton,1960,8,oldies,0.608,0.531,10,-12.023,1,0.0308,0.175,0.000495,0.127,0.941,147.029,122707,4,197,107.69,?,?,522,8286,18164,0,0,0,{3.34028E-05}
Handy Man,2CWgi9QUSDHok7rgGiX1BQ,Jimmy Jones,1960,25,oldies,0.458,0.564,10,-12.079,1,0.0378,0.623,0,0.218,0.946,147.741,118093,4,120,108.7,0.150854701,0.567094017,715,14537,41753,0,0,0,{3.34028E-05}
Good Timin,6nRHKdDLAqOYVy5gOg9pQ0,Jimmy Jones,1960,24,oldies,0.607,0.541,3,-7.529,1,0.158,0.705,0.0281,0.197,0.952,145.132,129973,4,254,107.69,0.381777778,0.534555556,715,17216,53948,0,0,0,{3.34028E-05}
You Talk Too Much,6cUIm6LO1lcMfDlBeGa4H4,Joe Jones,1960,13,oldies,0.756,0.685,2,-4.913,1,0.0368,0.663,2.92E-06,0.0767,0.655,125.765,152880,4,139,110.73,0.2,0.2,1092,7638,21184,0,0,0,{3.34028E-05}
Beatnik Fly,17DlCwtkoXb95jST5sSC5G,Johnny and The Hurricanes,1960,4,instrumental,0.585,0.809,5,-9.436,1,0.0328,0.324,0.883,0.12,0.958,88.94,134773,4,2,?,0,0,1815,12390,31167,0,0,0,{3.34028E-05}
Dreamin,5GYODxeCkL9LctXSI32al3,Johnny Burnette,1960,29,oldies,0.457,0.489,9,-10.219,1,0.0537,0.532,0,0.346,0.775,69.903,139667,4,98,82.31,0.428571429,0.578571429,4945,39694,92403,0,0,0,{3.34028E-05}
Sink The Bismark,1wuRCnD6sLvs9YuIOlqqOj,Johnny Horton,1960,42,country,0.679,0.546,3,-12.609,1,0.0729,0.648,3.62E-05,0.057,0.963,115.234,194933,4,462,95.17,0.024761905,0.300952381,15375,11820,31761,0,0,0,{3.34028E-05}
Running Bear,1RYznli2VNO7FCbW1Hq4KM,Johnny Preston,1960,38,oldies,0.772,0.297,5,-14.679,0,0.053,0.854,7.59E-06,0.125,0.834,119.987,158200,4,221,91.78,0.171388889,0.440277778,1074,24163,71254,0,0,0,{3.34028E-05}
Cradle Of Love,1tS8ZbjupcoB8seWVVfadt,Johnny Preston,1960,28,oldies,0.477,0.506,6,-11.669,0,0.0696,0.683,2.15E-05,0.0538,0.866,174.525,140320,4,150,90.77,0.270444444,0.459555556,1074,7002,20647,0,0,0,{3.34028E-05}
Poetry In Motion,5zMOnpgoSb9akRw5YlYeAs,Johnny Tillotson,1960,28,oldies,0.477,0.703,8,-7.332,1,0.0326,0.433,0,0.0908,0.856,135.342,154467,4,119,69.79,0.35,0.610714286,4199,76590,255260,0,0,0,{3.34028E-05}
Mr. Custer,4NiaY83tGozcx5lKsNNXdQ,Larry Verne,1960,8,oldies,0.83,0.228,1,-14.219,1,0.0792,0.627,0.00189,0.151,0.0609,107.862,185213,4,?,?,?,?,130,4747,11946,0,0,0,{3.34028E-05}
Forever,3Kx8w43Ysm7icX1fEbe2eZ,Little Dippers,1960,17,oldies,0.504,0.286,5,-9.904,1,0.0281,0.894,0.783,0.28,0.362,74.219,136373,4,64,65.39,0.103409091,0.502272727,10,1026,2787,0,0,0,{3.34028E-05}
Lady Luck,2DslmZkW8KWPCTV3KnbLFf,Lloyd Price,1960,21,soul,0.597,0.65,5,-5.408,1,0.0317,0.373,0,0.221,0.794,122.39,133960,4,218,106.67,0.105769231,0.490384615,3554,8826,17106,0,0,0,{3.34028E-05}
Teen Angel,2VbwU6FU8BlgJaAzE23S11,Mark Dinning,1960,24,oldies,0.583,0.168,0,-12.426,1,0.035,0.869,0,0.148,0.353,97.572,157080,4,156,89.75,0.207619048,0.359047619,294,22809,63544,0,0,0,{3.34028E-05}
El Paso,4f8hBeMXMvssn6HtFAtblo,Marty Robbins,1960,53,country,0.654,0.452,2,-9.709,1,0.03,0.835,2.89E-05,0.16,0.697,106.662,259307,3,454,88.74,0.038183622,0.457075036,29250,73328,249894,0,0,0,{3.34028E-05}
I Love The Way You Love,34OxIDrdSw4AV1ap0cN9Zi,Marv Johnson,1960,10,oldies,0.72,0.692,9,-12.797,1,0.0669,0.66,1.66E-06,0.314,0.852,134.616,159840,4,288,98.21,0.43179055,0.584691904,528,5984,11884,0,0,0,{3.34028E-05}
Youve Got What It Takes,1Juvtpl6PSw2ncb4OX6pgl,Marv Johnson,1960,0,soul,0.73,0.536,7,-14.112,1,0.0751,0.745,0,0.149,0.961,138.447,160573,4,330,98.21,0.350346053,0.578974935,528,1144,2561,0,0,0,{3.34028E-05}
Stay,5R2DZitRTDYtrkCoJiddct,Maurice Williams,1960,51,oldies,0.555,0.404,7,-14.187,0,0.0621,0.842,0,0.218,0.744,120.509,94907,4,132,100.24,0.183928571,0.535714286,5509,12385,35451,0,0,0,{3.34028E-05}
Stairway To Heaven,51PgB7XHoLwTRA4hUaqrqU,Neil Sedaka,1960,28,oldies,0.5,0.727,5,-7.531,1,0.0327,0.658,0,0.249,0.902,127.927,159773,4,213,89.75,0.226666667,0.606666667,24110,16582,39322,0,0,0,{3.34028E-05}
Its Time To Cry,6dAqyQn8GS2RYRqyP5eKTp,Paul Anka,1960,13,oldies,0.311,0.314,3,-12.81,1,0.0325,0.731,0,0.335,0.553,109.983,145467,3,99,99.23,-0.06875,0.3125,40176,3704,10806,0,0,0,{3.34028E-05}
Puppy Love,1Gv8dvKmkHVaB1edYvW0Fr,Paul Anka,1960,37,oldies,0.29,0.408,7,-9.607,1,0.0318,0.662,0,0.272,0.57,102.229,164000,3,1,?,0,0,40176,23784,62842,0,0,0,{3.34028E-05}
My Home Town,75wzEkDy6NnSj692dA99ip,Paul Anka,1960,27,oldies,0.79,0.514,11,-10.743,0,0.0362,0.223,0,0.14,0.962,117.022,126293,4,205,98.21,0.110841049,0.632098765,40176,7069,18226,0,0,0,{3.34028E-05}
Happy-Go-Lucky Me,6jZxxO0ZNb8fakRXryav4y,Paul Evans,1960,33,country,0.717,0.545,9,-10.97,1,0.048,0.809,0.0554,0.243,0.961,93.888,117253,4,141,100.24,0.377573529,0.673039216,254,256,1449,0,0,0,{3.34028E-05}
Theme From A Summer Place,6zwvB879PJSpTyFcg2wwnL,Percy Faith,1960,43,instrumental,0.326,0.326,0,-15.144,1,0.0297,0.591,0.918,0.494,0.864,186.232,142693,3,113,108.7,0.394444444,0.616666667,3233,?,?,1,1,1,{3.34028E-05}
Harbor Lights,0Q10MBnFFnrmwGLs4ZT0Oa,Platters,1960,22,oldies,0.325,0.424,0,-11.151,1,0.0491,0.893,0.000593,0.332,0.288,81.159,190600,4,139,100.24,0.109375,0.4609375,53630,16070,38838,0,0,0,{3.34028E-05}
Georgia On My Mind,6PbclyMA0GpMTym4eDYQ1I,Ray Charles,1960,60,soul,0.292,0.266,9,-11.064,0,0.0281,0.814,0,0.184,0.239,85.22,216163,4,122,99.23,0.173684211,0.357017544,377439,394829,1379615,0,1,0.2,{3.34028E-05}
Tell Laura I Love Her,1EwpgXlVIzs1E7XBZoRVQl,Ray Peterson,1960,39,oldies,0.528,0.394,10,-11.235,1,0.0368,0.751,0,0.173,0.287,102.898,174693,4,212,98.21,0.209090909,0.590909091,1537,30773,88453,0,0,0,{3.34028E-05}
Young Emotions,3ljxJJMhgENqETmeqlIILC,Ricky Nelson,1960,23,oldies,0.396,0.338,7,-9.145,0,0.0341,0.758,2.62E-06,0.117,0.382,116.543,155733,3,132,81.29,0.228636364,0.582954545,28829,5989,13208,0,0,0,{3.34028E-05}
Love You So,75zdGixP4G3VQ5oIk1HzjU,Ron Holden,1960,14,oldies,0.634,0.275,3,-11.417,1,0.0348,0.89,0.00111,0.137,0.59,127.294,208040,4,?,?,?,?,50,3259,8595,0,0,0,{3.34028E-05}
Only The Lonely,0PkBTqRtN25z3oKasWoKlj,Roy Orbison,1960,51,oldies,0.57,0.529,5,-10.769,1,0.028,0.377,0.00509,0.203,0.928,123.273,145533,4,143,73.85,0.00095991,0.803924337,145877,163215,553844,0,0,0,{3.34028E-05}
Chain Gang,1sK10Me7qS9em2QTx6dYRe,Sam Cooke,1960,59,soul,0.698,0.661,7,-9.674,1,0.0416,0.636,0,0.228,0.816,131.808,160000,4,229,104.64,0.139638448,0.443959436,208616,163987,574406,0,0,0,{3.34028E-05}
Wonderful World,2g2GkH3vZHk4lWzBjgQ6nY,Sam Cooke,1960,70,soul,0.691,0.507,11,-10.23,1,0.0343,0.627,0,0.457,0.872,128.518,125440,4,170,98.21,0.386363636,0.390909091,208616,224953,850051,0,0,0,{3.34028E-05}
Cherry Pie,4SwKYzkpIiyPP65xte4eHs,Skip and Flip,1960,7,oldies,0.499,0.254,10,-16.861,0,0.0392,0.629,6.81E-06,0.0877,0.509,86.029,140382,4,188,91.78,0.415625,0.625,29,2635,6653,0,0,0,{3.34028E-05}
Pretty Blue Eyes,4pEF7mCgmdBSowLzb5tHLH,Steve Lawrence,1960,28,oldies,0.581,0.53,5,-10.437,1,0.0308,0.486,0,0.38,0.907,127.175,112440,4,182,101.26,0.240322581,0.544802867,1353,16492,36626,0,0,0,{3.34028E-05}
Footsteps,2UCoe7GM0EW2FUyebqgKQa,Steve Lawrence,1960,26,oldies,0.622,0.485,2,-12.048,0,0.0346,0.312,0,0.354,0.95,144.445,133199,4,144,91.78,?,?,1353,13282,27843,0,0,0,{3.34028E-05}
The Big Hurt,0QxwQkCU0CjNU86C85wmOz,Toni Fisher,1960,13,oldies,0.511,0.524,1,-14.652,1,0.0395,0.875,0,0.122,0.305,127.444,129106,4,143,100.24,0.055555556,0.140740741,96,3417,8359,0,0,0,{3.34028E-05}
Walk Dont Run,74Qp7hzjPFQZUBMpNDqUIM,Ventures,1960,46,instrumental,0.466,0.861,0,-8.61,1,0.0318,0.566,0.0595,0.22,0.953,154.928,126733,4,?,?,?,?,28912,?,?,0,0,0,{3.34028E-05}
Take Good Care Of Her,0vYIhmM9CPV2pYijeWGeBp,Adam Wade,1961,5,oldies,0.473,0.463,11,-8.982,1,0.0392,0.671,2.20E-06,0.106,0.435,114.324,146933,4,173,87.72,0.547826087,0.627173913,97,2595,6784,0,0,0,{4.07982E-05}
The Writing On The Wall,2ZQx5u9vsLKzhJFfLecxyG,Adam Wade,1961,3,oldies,0.666,0.522,1,-7.842,1,0.0466,0.319,0,0.0636,0.638,120.898,151640,4,177,108.7,0.033368347,0.501820728,97,2879,6510,0,0,0,{4.07982E-05}
Yellow Bird,3KOC0porpfAeFFYuA4d73z,Arthur Lyman,1961,27,instrumental,0.561,0.0335,2,-29.467,1,0.0513,0.954,0.86,0.0949,0.707,119.319,164920,4,116,98.21,0.140350877,0.617105263,1411,6695,16480,0,0,0,{4.07982E-05}
Who Put The Bomp (In The Bomp Bomp Bomp),30txFxKhnMJqUXz0xx0x39,Barry Mann,1961,19,oldies,0.366,0.681,7,-8.468,1,0.0672,0.516,0,0.303,0.84,169.346,167227,4,394,108.7,0.304295224,0.384129332,919,?,?,0,0,0,{4.07982E-05}
Stand By Me,3SdTKo2uVsxFblQjpScoHy,Ben E. King,1961,67,soul,0.65,0.306,9,-9.443,1,0.0393,0.57,7.07E-06,0.0707,0.607,118.068,180056,4,?,?,?,?,59031,498717,2486049,0,0,0,{4.07982E-05}
Spanish Harlem,3UCmuRdeTriWgOZMEJsfqZ,Ben E. King,1961,47,soul,0.608,0.594,2,-11.86,1,0.0435,0.32,4.75E-05,0.129,0.782,125.166,174293,4,?,?,?,?,59031,81659,217449,0,0,0,{4.07982E-05}
Mexico,4LiY2rTqjH9u1QKb2vTonR,Bob Moore,1961,13,instrumental,0.531,0.752,2,-10.194,1,0.026,0.38,0.929,0.302,0.972,86.301,162278,4,2,?,0,0,83,2933,7193,0,0,0,{4.07982E-05}
You Must Have Been A Beautiful Baby,1ATiocRsFUbrnEFhb5Y4y9,Bobby Darin,1961,28,oldies,0.707,0.549,7,-15.712,1,0.0356,0.763,5.88E-05,0.121,0.972,134.563,129707,4,213,88.74,0.381730769,0.720192308,39930,13607,41869,0,0,0,{4.07982E-05}
One Track Mind,0ildbAb2xouV6u4fsix9r3,Bobby Lewis,1961,5,oldies,0.571,0.636,10,-6.877,1,0.0305,0.0222,0,0.0748,0.957,145.241,128533,3,327,107.69,0.211976912,0.654473304,299,3112,6344,0,0,0,{4.07982E-05}
Tossin And Turnin,79s3pSe1u6ggQBEwVPm58Z,Bobby Lewis,1961,22,oldies,0.569,0.722,0,-8.914,1,0.0393,0.225,0,0.108,0.965,142.736,159640,4,258,100.24,0.109157509,0.328388278,299,19078,52813,0,0,0,{4.07982E-05}
Good Time Baby,5Zt2tF219dfVI32VAORqXH,Bobby Rydell,1961,8,oldies,0.498,0.831,5,-6.447,1,0.0771,0.643,0,0.683,0.814,168.611,129467,4,227,88.74,?,?,1951,3529,7211,0,0,0,{4.07982E-05}
Take Good Care Of My Baby,1MR7XamWS0XH6vZxeeRdE0,Bobby Vee,1961,48,oldies,0.491,0.431,1,-12.257,1,0.0609,0.698,0,0.124,0.612,82.443,150867,4,197,99.23,0.448125,0.536944444,11623,71128,210986,0,0,0,{4.07982E-05}
Rubber Ball,6ckVhQnKxHMyeC70f7sOS2,Bobby Vee,1961,42,oldies,0.406,0.361,9,-13.94,1,0.0363,0.768,0,0.113,0.841,143.05,141867,4,280,88.74,0.000694444,0.177638889,11623,51498,136833,0,0,0,{4.07982E-05}
You Can Depend On Me,2e0UJm2WWNBXJh2eZfrHvu,Brenda Lee,1961,16,oldies,0.556,0.121,11,-15.49,1,0.0279,0.857,0.00197,0.125,0.331,93.562,211533,3,116,97.2,0.464285714,0.255952381,27192,7051,16352,0,0,0,{4.07982E-05}
Dum Dum,0H5DiqsiLo6W6sVzt7lvGr,Brenda Lee,1961,18,oldies,0.696,0.466,1,-11.189,1,0.254,0.794,0,0.148,0.602,126.056,146027,4,212,95.17,0.270192308,0.5,27192,11384,27003,0,0,0,{4.07982E-05}
Think Twice,3597XbK7cHfyEBHrmbkujE,Brook Benton,1961,12,soul,0.449,0.195,3,-15.197,1,0.0341,0.946,0.0484,0.119,0.313,80.573,168072,3,115,105.66,0.108333333,0.520833333,6801,3256,8160,0,0,0,{4.07982E-05}
The Boll Weevil Song,5MtxVHfin1V7AHgyQFGSaM,Brook Benton,1961,11,oldies,0.731,0.435,0,-12.78,1,0.0493,0.23,2.23E-06,0.198,0.635,133.171,158400,4,273,98.21,0.326071429,0.413571429,6801,4806,12263,0,0,0,{4.07982E-05}
Baby Sittin Boogie,21zJmuHM3Ln8p40SXUw1Vr,Buzz Clifford,1961,1,oldies,0.494,0.392,1,-14.915,1,0.0918,0.82,0,0.157,0.914,139.585,122880,3,261,89.75,0.055964052,0.480392157,200,2790,7700,0,0,0,{4.07982E-05}
Those Oldies But Goodies,76aPJHK9d4T8YSE5VXeB67,Caesar and The Romans,1961,26,oldies,0.451,0.427,7,-7.388,1,0.027,0.681,0,0.235,0.709,98.41,208614,3,?,?,?,?,78,4086,11040,0,0,0,{4.07982E-05}
Theres A Moon Out Tonight,0H0ahZpih9KvOvECJbS5re,Capris,1961,38,pop,0.325,0.382,6,-13.324,1,0.0387,0.896,0,0.387,0.61,201.924,132307,3,174,91.78,0,0,902,2010,6005,0,0,0,{4.07982E-05}
Gee Whiz (Look At His Eyes),68IngNKFxLJQZvTyzYIKIg,Carla Thomas,1961,26,soul,0.235,0.465,5,-5.031,1,0.032,0.569,0.000668,0.213,0.497,181.74,140200,3,110,107.69,0.31,0.61,3756,25549,52317,0,0,0,{4.07982E-05}
I Like It Like That,0H42hSApNDJawdGjF8bh48,Chris Kenner,1961,43,oldies,0.538,0.731,5,-5.446,1,0.123,0.832,0,0.119,0.771,144.671,117480,4,341,97.2,0.039236111,0.338888889,466,25044,62526,0,0,0,{4.07982E-05}
The Fly,4xeiuFLZgHYeC8ZHlwf6Fp,Chubby Checker,1961,9,oldies,0.439,0.919,5,-6.979,1,0.0498,0.212,0,0.108,0.851,78.406,148893,4,193,96.18,0.534833333,0.809333333,21959,9918,22962,0,0,0,{4.07982E-05}
Lets Twist Again,7fgQxIMO8E0sVRs5g4JFLM,Chubby Checker,1961,41,oldies,0.602,0.767,8,-6.873,1,0.152,0.272,0,0.126,0.907,83.822,136667,4,197,96.18,0.108680556,0.231944444,21959,138827,513146,0,0,0,{4.07982E-05}
Pony Time,0EyNUHXX9VifiAXL61wC5f,Chubby Checker,1961,21,oldies,0.466,0.615,8,-6.652,1,0.0291,0.00702,6.25E-05,0.0708,0.935,77.44,144800,4,201,99.23,0.064923469,0.383673469,21959,17649,41835,0,0,0,{4.07982E-05}
Breakin In A Brand New Broken Heart,1XAf2Wj0ok06UFy5wDY6eR,Connie Francis,1961,14,oldies,0.312,0.23,0,-7.771,1,0.0283,0.847,0,0.173,0.223,100.472,160133,4,116,98.21,-0.055294705,0.357992008,26697,5202,13007,0,0,0,{4.07982E-05}
Where The Boys Are,6N3LlP0e7sWkNaTw8aXEnX,Connie Francis,1961,40,oldies,0.413,0.435,7,-3.739,1,0.0284,0.782,0,0.342,0.376,109.111,159773,3,112,90.77,0.149074074,0.656481481,26697,33120,104865,0,0,0,{4.07982E-05}
Pretty Little Angel Eyes,4NQXfVdjEdbYNK7J6x3hOK,Curtis Lee,1961,32,oldies,0.623,0.569,1,-8.144,0,0.053,0.329,0,0.411,0.961,106.329,165200,4,222,82.31,0.18266129,0.764516129,660,35853,109982,0,0,0,{4.07982E-05}
Take Five,5p6me2mwQrGfH30eExHn6v,Dave Brubeck,1961,63,jazz,0.457,0.219,8,-15.325,0,0.0385,0.545,0.00098,0.0681,0.617,168.55,323067,5,1,?,0,0,83049,317003,1305514,0,1,0.2,{4.07982E-05}
Raindrops,5LBhm2nVTxRsoGS3WrMarX,Dee Clark,1961,40,oldies,0.554,0.447,8,-14.036,1,0.0461,0.15,0.00442,0.306,0.792,121.26,175707,4,152,98.21,0.333333333,0.35,658,21135,52401,0,0,0,{4.07982E-05}
Hats Off To Larry,2sg5k21rhzTqp41cXtuXmQ,Del Shannon,1961,22,oldies,0.542,0.558,9,-13.379,1,0.0537,0.239,0,0.363,0.654,161.029,124973,4,158,107.69,0.118181818,0.477272727,16723,41084,120873,0,0,0,{4.07982E-05}
Runaway,6jGMai6vxGIF1e0YLMmasR,Del Shannon,1961,46,oldies,0.491,0.535,8,-7.439,1,0.0415,0.186,0,0.11,0.706,151.573,139973,4,182,98.21,?,?,16723,270745,1170020,0,0,0,{4.07982E-05}
The Mountains High,2boEGV3Zcsh7AMaL3jqBGP,Dick and Deedee,1961,4,oldies,0.806,0.425,11,-11.019,1,0.0354,0.525,0,0.105,0.82,117.913,138133,4,212,89.75,0.016333333,0.433666667,37,3811,13092,0,0,0,{4.07982E-05}
Runaround Sue,1DndHckdH9m5rp6gYP086b,Dion,1961,57,oldies,0.364,0.607,2,-9.791,1,0.125,0.451,0,0.251,0.582,79.987,171600,4,242,96.18,0.218975469,0.504184704,622867,124452,462203,0,0,0,{4.07982E-05}
Sea Of Heartbreak,0xERMvJD8djz1ZBjPSRLvM,Don Gibson,1961,37,country,0.59,0.586,7,-9.158,1,0.0344,0.422,4.46E-05,0.337,0.737,91.17,155040,4,101,91.78,0.1,0.38,4098,21060,65176,0,0,0,{4.07982E-05}
Bristol Stomp,0B1cm1Z7J9v8Wug9idr8T6,Dovells,1961,27,oldies,0.665,0.788,2,-6.146,1,0.0639,0.56,0,0.524,0.915,105.62,138893,4,257,89.75,?,?,383,9696,29490,0,0,0,{4.07982E-05}
Please Stay,32v16B1DR9wopKenCpM7a0,Drifters,1961,30,soul,0.722,0.469,10,-7.789,1,0.0272,0.295,0,0.202,0.699,113.026,135480,4,207,105.66,0.2,0.6,48618,16555,39449,0,0,0,{4.07982E-05}
Baby Blue,5Kt64y0teh7Y23o8JHNC8l,Echoes,1961,8,oldies,0.5,0.373,7,-13.548,1,0.0275,0.779,0,0.0667,0.73,132.368,156813,4,125,91.78,0.196875,0.390625,1637,886,2765,0,0,0,{4.07982E-05}
Im Gonna Knock On Your Door,6C5IC9bZ0q6mI16Hay23gB,Eddie Hodges,1961,20,oldies,0.767,0.87,2,-6.756,1,0.034,0.814,0.0037,0.0641,0.992,126.293,126267,4,237,104.64,0.179320988,0.530864198,551,9049,27775,0,0,0,{4.07982E-05}
Are You Lonesome Tonight,6vXZs9rEQF7Nd6O8Ue7NrT,Elvis Presley,1961,49,oldies,0.355,0.0922,7,-17.747,1,0.0515,0.918,0.000702,0.106,0.195,65.952,187027,3,218,88.74,0.182291667,0.479166667,1088162,113722,413422,0,1,0.2,{4.07982E-05}
Surrender,366wRPrx2airjcCRkxgoS2,Elvis Presley,1961,40,oldies,0.354,0.536,3,-12.731,1,0.0404,0.736,7.12E-06,0.2,0.821,108.618,112360,3,101,89.75,0.458333333,0.625,1088162,142556,482851,0,0,0,{4.07982E-05}
Little Sister,3Wc4tanbT3laxY3dweuOib,Elvis Presley,1961,38,oldies,0.607,0.718,9,-8.142,1,0.133,0.595,0,0.364,0.875,139.183,150813,4,235,100.24,-0.015032588,0.492221621,1088162,53594,190189,0,0,0,{4.07982E-05}
(Maries The Name) His Latest Flame,1V3fmmv2zif98hsqvTsRyk,Elvis Presley,1961,43,oldies,0.662,0.624,4,-13.716,0,0.0317,0.747,0.314,0.104,0.915,104.591,128333,4,151,89.75,0.392222222,0.651111111,1088162,83290,324256,0,0,0,{4.07982E-05}
Mother-In-Law,6rN6xdKMu0dWnsKNePZItp,Ernie K-Doe,1961,31,oldies,0.747,0.631,7,-8.306,0,0.0409,0.713,0.00024,0.303,0.754,127.416,153600,4,151,100.24,-0.078395062,0.457098765,804,13718,35954,0,0,0,{4.07982E-05}
Walk Right Back,3NUXLtK8UGdD8TvZ12b4dD,Everly Brothers,1961,40,oldies,0.624,0.358,1,-13.199,1,0.0342,0.752,0,0.0593,0.873,135.797,139640,4,152,95.17,0.210084034,0.418907563,51500,34084,95150,0,0,0,{4.07982E-05}
Hello Walls,4dim8F8t01qimHOmr6S3Gd,Faron Young,1961,42,country,0.62,0.406,0,-10.421,1,0.0281,0.722,6.73E-06,0.114,0.676,101.489,146840,4,151,88.74,-0.066666667,0.483333333,4570,35598,95666,0,0,0,{4.07982E-05}
Let The Four Winds Blow,16wsaPpSfcvo9ysLD8BZ4o,Fats Domino,1961,29,oldies,0.638,0.451,10,-11.438,1,0.0501,0.555,0.0165,0.119,0.963,90.193,140107,4,166,117.16,0.422222222,0.566666667,45428,20700,46826,0,0,0,{4.07982E-05}
Wings Of A Dove,31vF1iGX0S3Dtv0rQfEksJ,Ferlin Husky,1961,28,country,0.5,0.319,4,-15.735,1,0.039,0.497,0,0.101,0.621,177.489,142907,3,213,99.23,0.157367725,0.421759259,1951,16386,45431,0,0,0,{4.07982E-05}
Exodus,4pKUJwmq9mYcs1KNUsqAHH,Ferrante and Teicher,1961,29,instrumental,0.477,0.231,2,-11.842,0,0.0259,0.857,0.497,0.0638,0.266,98.226,176760,4,126,113.1,0.421768707,0.767687075,1437,3630,12233,0,0,0,{4.07982E-05}
On The Rebound,4QjrLPqpSYSlLV6mqELvVg,Floyd Cramer,1961,30,instrumental,0.573,0.687,9,-11.829,1,0.034,0.29,0.00385,0.122,0.963,151.025,127400,4,1,?,0,0,3234,27293,100947,0,0,0,{4.07982E-05}
San Antonio Rose,6Vf3F1AnPANnD3U18aVMMA,Floyd Cramer,1961,21,instrumental,0.634,0.48,2,-13.191,1,0.0264,0.483,0.569,0.14,0.969,87.077,140000,4,1,?,0,0,3234,6274,16410,0,0,0,{4.07982E-05}
More Money For You And Me Medley,5X864LOuv4j0UZUWPqVVYV,Four Preps,1961,5,oldies,0.544,0.163,2,-20.184,1,0.27,0.796,0,0.973,0.449,116.515,388467,4,468,100.24,0.019246032,0.421825397,456,544,1609,0,0,0,{4.07982E-05}
The Second Time Around,5ccGCE1AceABOunwSCVAZb,Frank Sinatra ,1961,23,jazz,0.246,0.209,0,-12.083,1,0.0319,0.907,0,0.135,0.161,86.12,180467,3,89,89.75,0.304411765,0.423529412,1078273,?,?,0,1,0.2,{4.07982E-05}
School Is Out,01GarP7Iim3fsxASclkEFW,Gary U.S. Bonds,1961,6,oldies,0.532,0.78,3,-11.255,1,0.171,0.869,5.23E-05,0.47,0.85,75.944,149560,4,?,?,?,?,1882,?,?,0,0,0,{4.07982E-05}
Quarter To Three,7aHn8rGeEGkDkQiUV0DpW1,Gary U.S. Bonds,1961,20,oldies,0.463,0.831,0,-9.276,0,0.206,0.932,0.0755,0.893,0.895,164.964,150400,4,?,?,?,?,1882,?,?,0,0,0,{4.07982E-05}
